Comunidades autónomas,Género,Periodo,salario mediano,Variación Interanual (%)
07 Castilla y León,Ambos sexos,2017,"18.672,47","0,42"
07 Castilla y León,Ambos sexos,2016,"18.594,84","1,16"
07 Castilla y León,Ambos sexos,2015,"18.381,52","3,92"
07 Castilla y León,Ambos sexos,2014,"17.687,69","0,74"
07 Castilla y León,Ambos sexos,2013,"17.557,96","0,53"
07 Castilla y León,Ambos sexos,2012,"17.465,56","-2,81"
07 Castilla y León,Ambos sexos,2011,"17.971,26","1,71"
07 Castilla y León,Ambos sexos,2010,"17.669,77","0,53"
07 Castilla y León,Ambos sexos,2009,"17.577,20","1,91"
07 Castilla y León,Ambos sexos,2008,"17.246,99",
07 Castilla y León,Mujeres,2022,"18.166,97","3,93"
07 Castilla y León,Mujeres,2021,"17.479,26","2,82"
07 Castilla y León,Mujeres,2020,"17.000,04","3,96"
07 Castilla y León,Mujeres,2019,"16.352,32","-2,02"
07 Castilla y León,Mujeres,2018,"16.689,49","4,4"
07 Castilla y León,Mujeres,2017,"15.985,41","0,43"
07 Castilla y León,Mujeres,2016,"15.916,57","0,7"
07 Castilla y León,Mujeres,2015,"15.806,28","3,51"
07 Castilla y León,Mujeres,2014,"15.269,56","1,2"
07 Castilla y León,Mujeres,2013,"15.087,95","-1,23"
07 Castilla y León,Mujeres,2012,"15.275,45","-3,35"
07 Castilla y León,Mujeres,2011,"15.805,06","4,65"
07 Castilla y León,Mujeres,2010,"15.103,16","-1,35"
07 Castilla y León,Mujeres,2009,"15.309,12","3,32"
07 Castilla y León,Mujeres,2008,"14.817,65",
07 Castilla y León,Hombres,2022,"22.712,40","1,05"
07 Castilla y León,Hombres,2021,"22.476,57","4,75"
07 Castilla y León,Hombres,2020,"21.457,67","1,97"
07 Castilla y León,Hombres,2019,"21.042,97","0,41"
07 Castilla y León,Hombres,2018,"20.956,83","-0,97"
07 Castilla y León,Hombres,2017,"21.162,75","2,75"
07 Castilla y León,Hombres,2016,"20.596,75","0,23"
07 Castilla y León,Hombres,2015,"20.548,94","5,49"
07 Castilla y León,Hombres,2014,"19.479,68","-1,98"
07 Castilla y León,Hombres,2013,"19.873,03","0,98"
07 Castilla y León,Hombres,2012,"19.680,54","-1,06"
07 Castilla y León,Hombres,2011,"19.891,88","1,73"
07 Castilla y León,Hombres,2010,"19.553,56","2,2"
07 Castilla y León,Hombres,2009,"19.133,17","2,52"
07 Castilla y León,Hombres,2008,"18.663,75",
08 Castilla-La Mancha,Ambos sexos,2022,"20.477,58","4,1"
08 Castilla-La Mancha,Ambos sexos,2021,"19.671,51","3,56"
08 Castilla-La Mancha,Ambos sexos,2020,"18.995,00","2,02"
08 Castilla-La Mancha,Ambos sexos,2019,"18.618,90","0,46"
08 Castilla-La Mancha,Ambos sexos,2018,"18.533,67","4,5"
08 Castilla-La Mancha,Ambos sexos,2017,"17.735,19","-0,78"
08 Castilla-La Mancha,Ambos sexos,2016,"17.874,62","0,75"
08 Castilla-La Mancha,Ambos sexos,2015,"17.741,88","-0,96"
08 Castilla-La Mancha,Ambos sexos,2014,"17.912,98","2,69"
08 Castilla-La Mancha,Ambos sexos,2013,"17.443,75","0,83"
08 Castilla-La Mancha,Ambos sexos,2012,"17.300,72","-3,08"
08 Castilla-La Mancha,Ambos sexos,2011,"17.850,54","2,71"
08 Castilla-La Mancha,Ambos sexos,2010,"17.378,84","1,81"
08 Castilla-La Mancha,Ambos sexos,2009,"17.069,99","2,95"
08 Castilla-La Mancha,Ambos sexos,2008,"16.581,33",
08 Castilla-La Mancha,Mujeres,2022,"17.887,13","1,75"
08 Castilla-La Mancha,Mujeres,2021,"17.580,04","3,18"
08 Castilla-La Mancha,Mujeres,2020,"17.037,62","2,92"
08 Castilla-La Mancha,Mujeres,2019,"16.554,60","5,1"
08 Castilla-La Mancha,Mujeres,2018,"15.751,20","4,1"
08 Castilla-La Mancha,Mujeres,2017,"15.130,60","-3,45"
08 Castilla-La Mancha,Mujeres,2016,"15.670,87","0,67"
08 Castilla-La Mancha,Mujeres,2015,"15.566,10","-1,86"
08 Castilla-La Mancha,Mujeres,2014,"15.860,40","4,3"
08 Castilla-La Mancha,Mujeres,2013,"15.206,58","1,67"
08 Castilla-La Mancha,Mujeres,2012,"14.956,86","-7,06"
08 Castilla-La Mancha,Mujeres,2011,"16.092,70","6,86"
08 Castilla-La Mancha,Mujeres,2010,"15.059,88","0,02"
08 Castilla-La Mancha,Mujeres,2009,"15.057,50","1,14"
08 Castilla-La Mancha,Mujeres,2008,"14.887,81",
08 Castilla-La Mancha,Hombres,2022,"22.001,93","4,92"
08 Castilla-La Mancha,Hombres,2021,"20.970,07","4,59"
08 Castilla-La Mancha,Hombres,2020,"20.048,87","1,47"
08 Castilla-La Mancha,Hombres,2019,"19.757,49","-1,42"
08 Castilla-La Mancha,Hombres,2018,"20.042,00","3,87"
08 Castilla-La Mancha,Hombres,2017,"19.295,42","-0,44"
08 Castilla-La Mancha,Hombres,2016,"19.380,27","0,39"
08 Castilla-La Mancha,Hombres,2015,"19.305,70","0,88"
08 Castilla-La Mancha,Hombres,2014,"19.137,20","-0,33"
08 Castilla-La Mancha,Hombres,2013,"19.200,00","2,23"
08 Castilla-La Mancha,Hombres,2012,"18.780,36","-1,91"
08 Castilla-La Mancha,Hombres,2011,"19.145,12","2,66"
08 Castilla-La Mancha,Hombres,2010,"18.649,80","3,6"
08 Castilla-La Mancha,Hombres,2009,"18.001,50","3,12"
