ccaa;periodo;origen;dif_finmes;espacio_insuf;gasto_elevado;hogares_mono;precio_alquiler_periodo_label;precio_alquiler;precio_venta_periodo_label;precio_venta;retrasos_pagos;salario_destinado
Cataluña;2006;real;12,40;7,60;NA;NA;2006;11,51;2006;4271,00;7,60;NA
Cataluña;2007;real;12,60;7,70;NA;NA;2007;11,23;NA;NA;7,40;NA
Cataluña;2008;real;13,20;7,50;13,40;NA;2008;10,62;2008;1259,00;8,60;0,64
Cataluña;2009;real;16,80;6,60;14,00;NA;2009;9,79;2009;1824,00;9,00;0,57
Cataluña;2010;real;14,90;6,60;13,30;NA;2010;9,75;2010;1463,50;12,10;0,56
Cataluña;2011;real;5,60;11,10;12,00;NA;2011;9,80;2011;2681,00;6,50;0,55
Cataluña;2012;real;13,40;8,20;13,30;NA;2012;9,45;2012;2140,33;13,00;0,54
Cataluña;2013;real;15,50;5,80;11,00;NA;2013;8,78;2013;2563,00;10,60;0,51
Cataluña;2014;real;12,90;7,50;12,90;265,80;2014;8,76;2014;3200,00;10,50;0,51
Cataluña;2015;real;12,90;7,80;11,60;285,80;2015;9,61;2015;1926,75;11,90;0,55
Cataluña;2016;real;12,70;5,30;11,10;304,30;2016;10,83;2016;1937,00;9,90;0,61
Cataluña;2017;real;7,00;6,80;10,70;294,70;2017;12,56;2017;2082,50;8,30;0,69
Cataluña;2018;real;8,50;5,20;9,90;285,10;2018;13,29;2018;2071,50;8,70;0,72
Cataluña;2019;real;6,20;7,30;10,30;289,30;2019;13,57;2019;2269,00;8,10;0,73
Cataluña;2020;real;9,20;11,90;10,10;314,20;2020;13,89;2020;2179,25;14,30;0,72
Cataluña;2021;proyeccion;NA;NA;NA;300,50;NA;NA;NA;NA;NA;NA
Cataluña;2021;real;8,80;8,30;10,40;NA;2021;13,03;2021;2152,75;14,20;0,65
Cataluña;2022;proyeccion;NA;NA;NA;307,54;NA;NA;NA;NA;NA;NA
Cataluña;2022;real;8,00;9,00;10,70;NA;2022;13,72;2022;2077,25;14,80;0,66
Cataluña;2023;proyeccion;NA;NA;NA;298,93;NA;NA;NA;NA;NA;NA
Cataluña;2023;real;9,20;9,20;9,60;NA;2023;15,36;2023;2073,75;14,00;0,71
Cataluña;2024;proyeccion;8,54;9,29;9,55;299,83;NA;NA;NA;NA;14,12;0,78
Cataluña;2024;real;NA;NA;NA;NA;2024;17,13;2024;2204,25;NA;NA
Cataluña;2025;proyeccion;8,33;9,33;9,64;298,76;NA;NA;NA;NA;14,03;0,83
Cataluña;2025;real;NA;NA;NA;NA;2025;18,76;2025-07;2576,50;NA;NA
Cataluña;2026;proyeccion;8,27;9,28;9,61;298,58;NA;NA;NA;NA;14,00;0,77
Cataluña;2026;real;NA;NA;NA;NA;2026-03;17,72;NA;NA;NA;NA
Comunidad Foral de Navarra;2004;real;4,80;9,80;NA;NA;NA;NA;NA;NA;2,90;NA
Comunidad Foral de Navarra;2005;real;4,30;2,70;NA;NA;NA;NA;NA;NA;7,30;NA
Comunidad Foral de Navarra;2006;real;6,90;4,00;NA;NA;NA;NA;NA;NA;6,50;NA
Comunidad Foral de Navarra;2007;real;4,50;3,20;NA;NA;NA;NA;NA;NA;9,30;NA
Comunidad Foral de Navarra;2008;real;7,20;2,50;8,10;NA;NA;NA;NA;NA;7,60;NA
Comunidad Foral de Navarra;2009;real;8,90;1,30;6,80;NA;NA;NA;NA;NA;7,60;NA
Comunidad Foral de Navarra;2010;real;6,80;0,90;9,10;NA;2010;6,59;2010;2400,00;9,90;0,37
Comunidad Foral de Navarra;2011;real;4,20;3,40;2,50;NA;2011;7,07;2011;656,00;7,60;0,38
Comunidad Foral de Navarra;2012;real;6,60;1,80;3,20;NA;2012;7,28;2012;1179,00;5,50;0,41
Comunidad Foral de Navarra;2013;real;5,10;2,80;4,20;NA;2013;6,52;2013;1500,00;3,30;0,37
Comunidad Foral de Navarra;2014;real;4,60;2,70;6,40;21,80;2014;6,34;NA;NA;6,30;0,34
Comunidad Foral de Navarra;2015;real;6,60;1,10;5,70;22,10;2015;6,36;NA;NA;5,90;0,34
Comunidad Foral de Navarra;2016;real;7,90;1,90;7,60;25,10;2016;6,60;2016;1210,00;5,50;0,35
