ccaa;ccaa_cod;periodo;genero;origen;avs_65;mort_cancer;mort_cardio;mort_diabetes;mort_ictus;mort_epoc;mort_evitable_idx;mort_evitable_idx_0_100;reingresos_psiq;poblacion_total
Canarias;05;2012;hombres;real;15,84;187,21;52,15;20,54;14,59;12,64;1,53;40,77;5,69;1055598
Canarias;05;2012;mujeres;real;18,41;99,44;18,22;11,28;6,94;4,84;0,73;14,41;6,07;1065349
Canarias;05;2013;hombres;real;15,47;177,03;49,11;19,14;12,52;11,45;1,42;37,07;6,27;1050503
Canarias;05;2013;mujeres;real;18,31;102,02;11,20;9,41;8,24;3,84;0,64;11,58;6,36;1057949
Canarias;05;2014;hombres;real;14,59;178,34;50,62;18,24;14,40;13,68;1,46;38,53;6,89;1054529
Canarias;05;2014;mujeres;real;17,90;91,06;13,10;10,60;9,13;3,40;0,66;12,27;7,76;1063895
Canarias;05;2015;hombres;real;15,49;163,95;46,75;13,86;14,54;15,40;1,33;34,26;6,27;1058321
Canarias;05;2015;mujeres;real;18,53;95,61;14,36;9,15;9,73;4,22;0,66;12,22;4,93;1069453
Canarias;05;2016;hombres;real;16,54;172,99;50,50;10,17;15,11;9,84;1,18;29,46;9,17;1064553
Canarias;05;2016;mujeres;real;19,90;93,33;16,38;5,92;9,85;4,54;0,59;9,96;10,40;1077721
Canarias;05;2017;hombres;real;16,68;164,43;48,42;7,81;14,41;12,17;1,13;27,65;7,26;1074860
Canarias;05;2017;mujeres;real;19,93;96,00;14,81;3,71;8,52;4,02;0,51;7,26;7,63;1089485
Canarias;05;2018;hombres;real;16,44;155,86;53,01;7,33;14,01;12,78;1,13;27,77;9,04;1085955
Canarias;05;2018;mujeres;real;19,63;93,20;15,96;3,31;7,54;5,62;0,52;7,54;10,99;1102359
Canarias;05;2019;hombres;real;18,68;153,06;47,32;6,12;13,57;12,18;1,05;25,05;8,80;1100922
Canarias;05;2019;mujeres;real;19,24;93,84;12,86;2,98;8,38;4,98;0,49;6,65;10,01;1119293
Canarias;05;2020;hombres;real;18,61;152,28;46,86;6,55;15,84;12,10;1,08;25,97;10,01;1111831
Canarias;05;2020;mujeres;real;19,12;91,51;13,93;3,57;7,20;5,62;0,51;7,18;12,46;1132714
Canarias;05;2021;hombres;real;18,63;144,64;47,34;6,58;15,34;11,15;1,05;24,90;11,90;1111506
Canarias;05;2021;mujeres;real;19,17;89,81;15,10;3,07;7,74;3,94;0,48;6,10;11,81;1134720
Canarias;05;2022;hombres;real;17,19;140,47;56,17;6,81;13,50;12,36;1,10;26,54;9,89;1085668
Canarias;05;2022;mujeres;real;18,21;90,37;15,96;2,95;8,56;5,73;0,52;7,46;12,79;1111659
Canarias;05;2023;hombres;real;17,85;137,81;52,67;5,06;14,33;12,11;1,03;24,39;10,17;1098051
Canarias;05;2023;mujeres;real;18,28;91,09;13,84;3,00;7,14;6,74;0,51;7,26;12,08;1126292
Canarias;05;2024;hombres;proyeccion;17,55;140,47;46,44;5,52;11,82;11,47;0,98;22,63;9,21;1109977
Canarias;05;2024;mujeres;proyeccion;18,49;89,85;14,27;2,86;8,49;7,12;0,53;7,80;10,19;1137950
Canarias;05;2025;hombres;proyeccion;17,55;NA;NA;NA;NA;NA;0,96;22,02;9,61;1118110
Canarias;05;2025;mujeres;proyeccion;18,49;NA;NA;NA;NA;NA;0,48;6,32;11,27;1147445
Cantabria;06;1990;hombres;real;NA;8,73;88,37;11,61;33,01;29,31;1,63;44,05;NA;258016
Cantabria;06;1990;mujeres;real;NA;1,44;19,22;7,11;27,65;7,34;0,69;13,03;NA;269583
Cantabria;06;1991;hombres;real;NA;13,79;87,99;5,79;35,94;34,42;1,60;43,23;NA;257997
Cantabria;06;1991;mujeres;real;NA;0,95;18,72;5,75;20,12;6,20;0,55;8,70;NA;269741
Cantabria;06;1992;hombres;real;NA;13,70;80,37;11,09;34,81;32,59;1,65;44,88;NA;258055
Cantabria;06;1992;mujeres;real;NA;0,47;20,96;7,76;26,36;5,46;0,67;12,37;NA;269939
Cantabria;06;1993;hombres;real;NA;13,04;81,94;9,25;35,93;26,78;1,53;40,68;NA;258058
Cantabria;06;1993;mujeres;real;NA;0,00;22,99;8,12;20,17;5,96;0,63;11,30;NA;270196
Cantabria;06;1994;hombres;real;NA;12,60;65,26;8,33;40,82;34,21;1,58;42,56;NA;258165
Cantabria;06;1994;mujeres;real;NA;0,42;20,33;7,48;22,19;6,03;0,62;10,99;NA;270488
Cantabria;06;1995;hombres;real;NA;19,84;71,39;10,40;37,57;33,80;1,64;44,60;NA;258234
Cantabria;06;1995;mujeres;real;NA;1,78;19,46;4,83;24,65;4,66;0,56;8,71;NA;270688
Cantabria;06;1996;hombres;real;NA;17,77;72,30;8,05;31,88;29,32;1,45;38,31;NA;258051
Cantabria;06;1996;mujeres;real;NA;0,85;14,78;6,97;26,17;6,08;0,62;10,87;NA;270718
Cantabria;06;1997;hombres;real;NA;12,92;57,69;5,83;35,38;24,42;1,26;31,83;8,55;257941
Cantabria;06;1997;mujeres;real;NA;1,66;16,40;5,11;22,25;3,55;0,50;6,98;8,12;270739
Cantabria;06;1998;hombres;real;NA;15,11;60,63;9,71;31,59;25,22;1,35;35,01;10,06;258140
Cantabria;06;1998;mujeres;real;NA;1,26;14,40;5,10;18,27;7,37;0,52;7,44;7,01;271060
Cantabria;06;1999;hombres;real;NA;242,94;69,48;9,30;28,06;23,30;1,76;48,33;6,14;258588
Cantabria;06;1999;mujeres;real;NA;93,47;12,70;3,05;16,52;5,06;0,57;9,32;5,96;271782
Cantabria;06;2000;hombres;real;NA;256,49;57,10;7,34;24,79;24,88;1,66;45,10;6,97;259291
Cantabria;06;2000;mujeres;real;NA;87,11;18,16;6,22;12,72;1,14;0,57;9,16;6,60;272771
Cantabria;06;2001;hombres;real;NA;258,02;34,42;4,59;23,80;15,49;1,30;33,12;6,53;260132
Cantabria;06;2001;mujeres;real;NA;92,48;7,93;5,52;12,89;1,87;0,52;7,50;7,38;273856
