ccaa;genero;periodo;t_mental;antidep_ajustado;hipno_ajustado;suicidios;censo;origen;brecha_rel;n_personas_tm;antidep_anual_total;hipno_anual_total;n_suicidios
Cantabria;total;2022;13,96860456652784;112,1157397939353;64,3427947908691;10,05300000000000;586187,000000000;real;50,9444646746116;81882;23988088;13766672;59
Cantabria;hombres;2023;9,61374080336866;58,4435400128726;32,4420533733011;10,84900000000000;285391,000000000;real;50,5424676851684;27437;6087930;3379415;31
Cantabria;mujeres;2023;19,43837541705582;177,8947376061514;98,7495037257669;4,93600000000000;303488,000000000;real;50,5424676851684;58993;19705955;10938791;15
Cantabria;total;2023;14,67701986347895;118,1691388095120;65,5957785495340;7,80200000000000;588880,000000000;real;50,5424676851684;86430;25399416;14099235;46
Cantabria;hombres;2024;9,98061488370634;61,8881036858106;33,5601267184922;13,59400000000000;286598,000000000;proyeccion;50,3237299414330;28604;6474007;3510667;39
Cantabria;mujeres;2024;20,09131295876174;186,5569719643667;101,5172007628674;2,94700000000000;304892,000000000;proyeccion;50,3237299414330;61257;20761101;11297401;9
Cantabria;total;2024;15,19439818856960;124,0487476955400;65,8684914721216;8,10500000000000;591490,000000000;proyeccion;50,3237299414330;89873;26781362;14220602;48
Cantabria;hombres;2025;10,34748896404403;65,3326673587487;34,6782000636832;11,59428571428622;287681,200054689;proyeccion;50,1187619971579;29768;6860168;3641337;33
Cantabria;mujeres;2025;20,74425050046767;195,2192063225820;104,2848977999680;3,79200000000000;306296,000000000;proyeccion;50,1187619971579;63539;21825125;11658847;12
Cantabria;total;2025;15,71177651366025;130,0194997283502;67,5817743363665;7,58257142857143;592569,620569847;proyeccion;50,1187619971579;93103;28121646;14617121;45
Cantabria;hombres;2026;10,71436304438172;68,7772310316868;35,7962734088742;11,59428571428622;288509,408838692;proyeccion;49,9263032915174;30912;7242651;3769560;33
Cantabria;mujeres;2026;21,39718804217359;203,8814406807973;107,0525948370686;3,79200000000000;307700,000000000;proyeccion;49,9263032915174;65839;22898027;12023130;12
Cantabria;total;2026;16,22915483875090;135,9424523077224;69,2950572006114;7,58257142857143;591961,177753348;proyeccion;49,9263032915174;96070;29372519;14972294;45
Castilla y León;total;2010;NA;66,3094252290252;27,1424385811107;NA;2546398,000000000;real;NA;NA;61630319;25227140;NA
Castilla y León;total;2011;NA;70,0684720453337;28,5301232253639;NA;2543325,000000000;real;NA;NA;65045517;26484902;NA
Castilla y León;total;2012;NA;67,7479217754061;28,7504275687106;NA;2531596,000000000;real;NA;NA;62601284;26566331;NA
Castilla y León;hombres;2013;7,88300000000000;34,5151881673791;14,8703354625596;NA;1243397,000000000;real;50,9305944600062;98017;15664370;6748752;NA
Castilla y León;mujeres;2013;16,06500000000000;106,1638674989776;45,7390617735231;NA;1267408,000000000;real;50,9305944600062;203609;49111821;21159069;NA
Castilla y León;total;2013;12,01312251289925;70,3395278331783;30,3046986180413;NA;2510805,000000000;real;50,9305944600062;301626;64462226;27772554;NA
Castilla y León;hombres;2014;8,51500000000000;36,6978134803372;16,0316139975629;NA;1231206,000000000;real;49,7313891020721;104837;16491637;7204450;NA
