ccaa_id3,ccaa,anio,pib_regional_eur,origen_pib,concepto,pct_pib_regional,importe_eur
bal,Baleares,2020,26669106000.0,real,sanidad,6.3948,1705436416.0
bal,Baleares,2021,30512146000.0,real,sanidad,5.7693,1760322500.0
bal,Baleares,2022,37189162000.0,real,sanidad,5.2113,1938048858.0
bal,Baleares,2023,41502526000.0,real,sanidad,5.2971,2198416178.0
bal,Baleares,2024,44692852000.0,real,sanidad,5.0832,2271828953.0
bal,Baleares,2025,47156552442.1196,proyeccion,sanidad,5.0725,2392009631.0
bal,Baleares,2026,50781507109.3719,proyeccion,sanidad,4.7736,2424124341.0
can,Canarias,2015,39636569000.0,real,sanidad,6.2057,2459743096.0
can,Canarias,2016,40979670000.0,real,sanidad,6.0901,2495715117.0
can,Canarias,2017,43035839000.0,real,sanidad,5.9406,2556566464.0
can,Canarias,2018,44609266000.0,real,sanidad,6.1412,2739535209.0
can,Canarias,2019,45766832000.0,real,sanidad,6.1896,2832787821.0
can,Canarias,2020,37587399000.0,real,sanidad,7.9033,2970650193.0
can,Canarias,2021,41407275000.0,real,sanidad,7.4588,3088468435.0
can,Canarias,2022,48908196000.0,real,sanidad,6.5948,3225421670.0
can,Canarias,2023,53990089000.0,real,sanidad,6.6228,3575652999.0
can,Canarias,2024,58144618000.0,real,sanidad,7.0655,4108181841.0
can,Canarias,2025,61062044154.199,proyeccion,sanidad,7.0562,4308657056.0
can,Canarias,2026,65760759009.7699,proyeccion,sanidad,6.9069,4542045217.0
cat,Cataluña,2015,206434270000.0,real,sanidad,4.0006,8258548090.72
cat,Cataluña,2016,214502547000.0,real,sanidad,3.9776,8531977179.82
cat,Cataluña,2017,223139777000.0,real,sanidad,3.8615,8616575864.15
cat,Cataluña,2018,231101287000.0,real,sanidad,3.7285,8616575864.15
cat,Cataluña,2019,240165818000.0,real,sanidad,3.8033,9134162335.42
cat,Cataluña,2020,214857435000.0,real,sanidad,4.4189,9494241602.78
cat,Cataluña,2021,234820402000.0,real,sanidad,4.0432,9494241602.78
cat,Cataluña,2022,258787407000.0,real,sanidad,4.0013,10354756810.75
cat,Cataluña,2023,283274025000.0,real,sanidad,4.0015,11335301941.0
cat,Cataluña,2024,302303884000.0,real,sanidad,3.8858,11747006548.59
cat,Cataluña,2025,314476551469.5445,proyeccion,sanidad,3.7354,11747006548.59
cat,Cataluña,2026,335602542224.5094,proyeccion,sanidad,3.875,13004607194.14
clm,Cast.-La Mancha,2015,37998035000.0,real,sanidad,6.3499,2412822220.0
clm,Cast.-La Mancha,2016,39136242000.0,real,sanidad,6.7217,2630611680.0
clm,Cast.-La Mancha,2017,40768959000.0,real,sanidad,6.6839,2724969590.0
clm,Cast.-La Mancha,2018,42290925000.0,real,sanidad,6.6426,2809202270.0
clm,Cast.-La Mancha,2019,43393303000.0,real,sanidad,6.4738,2809202270.0
clm,Cast.-La Mancha,2020,40254360000.0,real,sanidad,7.5532,3040499320.0
clm,Cast.-La Mancha,2021,44123986000.0,real,sanidad,8.4252,3717533530.0
clm,Cast.-La Mancha,2022,50032018000.0,real,sanidad,7.3418,3673248580.0
clm,Cast.-La Mancha,2023,52544941000.0,real,sanidad,6.9958,3675941730.0
clm,Cast.-La Mancha,2024,55559897000.0,real,sanidad,7.0367,3909573620.0
clm,Cast.-La Mancha,2025,57877789156.0775,proyeccion,sanidad,6.6246,3834163140.0
clm,Cast.-La Mancha,2026,60528774710.7235,proyeccion,sanidad,6.8169,4126166360.0
cnt,Cantabria,2015,12443843000.0,real,sanidad,6.358,791173926.0
cnt,Cantabria,2016,12833899000.0,real,sanidad,6.2946,807838982.0
cnt,Cantabria,2017,13318023000.0,real,sanidad,6.2103,827085351.0
cnt,Cantabria,2018,13843935000.0,real,sanidad,6.1644,853389380.0
cnt,Cantabria,2019,14274351000.0,real,sanidad,6.143,876879573.0
cnt,Cantabria,2020,12991241000.0,real,sanidad,7.1073,923332337.0
cnt,Cantabria,2021,14206538000.0,real,sanidad,7.0195,997231051.0
cnt,Cantabria,2022,15557155000.0,real,sanidad,6.5835,1024213022.0
cnt,Cantabria,2023,16740663000.0,real,sanidad,6.4553,1080659864.0
cnt,Cantabria,2024,17700122000.0,real,sanidad,6.5181,1153704317.0
