ccaa,ccaa_nombre,anio,estado,filas,pct_concepto,n_conceptos,magnitud_disp,imp_sanidad,imp_educacion,imp_soberania,imp_direccion,imp_vivienda,imp_empleo,imp_idi,imp_dependencia,imp_discapacidad,imp_salud_mental,imp_diversidad,imp_turismo,imp_igualdad,total_extraido,gasto_social
cnt,Cantabria,2024,VERDE_PRAGM,89,51.7,11,si,1153704317.0,723842463.0,17980803.0,65842609.0,30836033.0,108749736.0,49604154.0,177234691.0,0.0,0.0,14475355.0,25466443.0,7522267.0,3568557924.0,2375258871.0
cnt,Cantabria,2025,VERDE_PRAGM,88,51.1,11,si,1225308481.0,746611006.0,17790064.0,43423689.0,31611589.0,112749736.0,77307482.0,185614577.0,0.0,0.0,17077855.0,25121524.0,7690961.0,3790881028.0,2490306964.0
cnt,Cantabria,2026,VERDE_PRAGM,91,52.7,11,si,1324077382.0,793193442.0,19247162.0,44481120.0,46014536.0,112749736.0,83491279.0,205233389.0,0.0,0.0,19250355.0,24653291.0,8259262.0,3972736127.0,2680650954.0
cym,Cast. y León,2015,VERDE,104,87.5,13,DB,,,,,,,,,,,,,,,
cym,Cast. y León,2016,VERDE,103,85.4,13,si,3285027920.0,1829589229.0,1318536495.0,1494594547.0,145271044.0,233704628.0,166951996.0,618898555.0,130292035.0,8325168.0,72240073.0,22460969.0,7458583.0,9843699243.0,9333351242.0
cym,Cast. y León,2017,VERDE,102,85.3,13,si,3446716392.0,1900565408.0,1346493414.0,1430901081.0,152388567.0,261461840.0,224628906.0,661201402.0,135944676.0,8722181.0,75180759.0,23983830.0,8015947.0,10293186358.0,9676204403.0
cym,Cast. y León,2018,VERDE,102,85.3,13,si,3544930466.0,1954038890.0,1382181385.0,1816297934.0,166810280.0,271877156.0,242182633.0,696811366.0,140093908.0,8978860.0,81009410.0,25339532.0,8537700.0,10859218623.0,10339089520.0
cym,Cast. y León,2019,VERDE,102,85.3,13,si,3544930466.0,1954038890.0,1382181385.0,1816297934.0,166810280.0,271877156.0,242182633.0,696811366.0,140093908.0,8978860.0,81009410.0,25339532.0,8537700.0,10859218623.0,10339089520.0
cym,Cast. y León,2020,VERDE,102,85.3,13,si,3544930466.0,1954038890.0,1382181385.0,1816297934.0,166810280.0,271877156.0,242182633.0,696811366.0,140093908.0,8978860.0,81009410.0,25339532.0,8537700.0,10859218623.0,10339089520.0
cym,Cast. y León,2021,VERDE,104,85.6,13,si,4316967631.0,2248721516.0,1419449800.0,1929481958.0,173261426.0,300892031.0,303237083.0,744737627.0,172600101.0,10261322.0,87676150.0,29882122.0,10835846.0,12291444523.0,11748004613.0
