territorio_cod,territorio,genero,anyo,tasa_paro,tasa_actividad,tasa_empleo,horas_servicios,tasa_paro_juvenil,paro_larga_duracion,temporalidad,parcialidad,brecha_salarial,pct_alquiler_salario
10,Comunitat Valenciana,Hombres,2015,21.91,65.19749999999999,50.9125,,48.73,61.2,27.225,9.950000000000001,,21.15
10,Comunitat Valenciana,Hombres,2016,18.9075,65.06,52.7575,,44.9475,57.599999999999994,27.375,10.1,,22.95
10,Comunitat Valenciana,Hombres,2017,16.4775,65.34,54.5775,,43.705,51.55,29.0,9.7,,24.45
10,Comunitat Valenciana,Hombres,2018,14.005,64.9025,55.8125,,35.5075,47.525,28.5,7.85,,26.25
10,Comunitat Valenciana,Hombres,2019,11.795,64.6125,56.989999999999995,,27.087500000000002,42.775,27.55,8.0,,28.13
10,Comunitat Valenciana,Hombres,2020,14.3325,63.225,54.167500000000004,,34.2025,37.05,24.025,8.15,,28.91
10,Comunitat Valenciana,Hombres,2021,14.23,63.335,54.3275,,36.43,46.65,22.975,7.525,,28.08
10,Comunitat Valenciana,Hombres,2022,11.4275,64.37,57.015,,27.1675,42.9,19.9,7.5,,29.97
10,Comunitat Valenciana,Hombres,2023,10.9725,64.52250000000001,57.445,,28.919999999999998,37.125,15.55,7.675000000000001,,33.03
10,Comunitat Valenciana,Hombres,2024,11.282499999999999,64.07000000000001,56.84,,27.905,36.45,14.3,8.725,,35.87
10,Comunitat Valenciana,Hombres,2025,9.73,64.01,57.785,,29.415,37.725,13.5,7.725,,
10,Comunitat Valenciana,Hombres,2026,9.52,63.61,57.56,,23.96,30.9,13.3,8.7,,
10,Comunitat Valenciana,Mujeres,2010,22.765,52.5025,40.55,,43.2575,46.25,28.275,26.85,,32.94
10,Comunitat Valenciana,Mujeres,2011,24.3325,52.93,40.05,,47.1625,50.9,27.8,27.125,,30.52
10,Comunitat Valenciana,Mujeres,2012,26.9875,52.635000000000005,38.4325,,49.7275,55.925,28.4,28.925,,30.19
10,Comunitat Valenciana,Mujeres,2013,29.21,53.245000000000005,37.6925,,54.775,60.25,28.575,29.975,,28.4
10,Comunitat Valenciana,Mujeres,2014,26.7775,52.6475,38.545,,55.4025,63.875,27.75,30.575,,28.4
10,Comunitat Valenciana,Mujeres,2015,23.805,53.235,40.565,,48.0275,63.5,27.725,29.825,,28.4
10,Comunitat Valenciana,Mujeres,2016,22.585,53.9225,41.745,,46.265,61.375,27.5,29.9,,29.61
10,Comunitat Valenciana,Mujeres,2017,20.18,53.135,42.415,,39.3875,52.075,30.075,29.7,,31.51
10,Comunitat Valenciana,Mujeres,2018,17.4625,52.47,43.302499999999995,,32.79,50.25,29.075,25.925,,33.49
10,Comunitat Valenciana,Mujeres,2019,16.855,52.0975,43.317499999999995,,36.3575,44.95,28.35,26.025,,35.69
10,Comunitat Valenciana,Mujeres,2020,18.365000000000002,51.394999999999996,41.955,,39.777499999999996,41.525,26.4,25.950000000000003,,36.18
10,Comunitat Valenciana,Mujeres,2021,18.2225,52.4525,42.894999999999996,,38.5475,50.55,31.325,25.3,,35.2
10,Comunitat Valenciana,Mujeres,2022,15.445,53.2925,45.06,,30.182499999999997,51.125,25.425,24.75,,36.13
10,Comunitat Valenciana,Mujeres,2023,14.8725,54.129999999999995,46.0775,,28.3775,40.275,20.9,24.875,,39.76
10,Comunitat Valenciana,Mujeres,2024,14.1575,53.93,46.3,,23.16,41.55,20.4,24.575,,43.5
10,Comunitat Valenciana,Mujeres,2025,13.6775,53.62,46.2875,,31.8325,36.975,19.475,24.475,,
10,Comunitat Valenciana,Mujeres,2026,14.25,54.4,46.65,,35.11,39.5,17.6,23.5,,
11,Extremadura,Ambos géneros,2010,22.97,54.445,41.94,129.775,45.7375,41.55,34.1,13.0,14.0,24.34
11,Extremadura,Ambos géneros,2011,25.08,54.2375,40.6375,127.725,50.989999999999995,45.025,36.725,13.674999999999999,15.28,23.37
11,Extremadura,Ambos géneros,2012,33.075,55.167500000000004,36.917500000000004,126.025,62.0075,52.825,34.525,14.275,19.381,23.51
11,Extremadura,Ambos géneros,2013,33.8675,55.99,37.0225,125.525,61.269999999999996,55.75,32.75,16.55,25.143,22.78
11,Extremadura,Ambos géneros,2014,29.7925,55.105000000000004,38.69,123.975,55.405,58.45,33.3,15.4,16.399,21.82
11,Extremadura,Ambos géneros,2015,29.095,55.2025,39.144999999999996,123.275,55.2825,58.75,34.2,15.600000000000001,20.671,21.05
11,Extremadura,Ambos géneros,2016,27.515,55.125,39.9575,122.45,50.3525,55.35,33.075,15.625,19.46,21.69
11,Extremadura,Ambos géneros,2017,26.2175,54.775,40.415,120.55,48.64,57.425,35.475,15.675,17.896,22.64
11,Extremadura,Ambos géneros,2018,23.642500000000002,55.31,42.235,120.45,46.6125,51.0,35.475,16.025,17.536,22.91
11,Extremadura,Ambos géneros,2019,21.535,55.6425,43.66,120.625,44.775,52.275,34.1,15.875,17.463,24.17
11,Extremadura,Ambos géneros,2020,21.795,54.4,42.542500000000004,114.675,47.31,44.225,34.800000000000004,14.8,14.864,24.09
11,Extremadura,Ambos géneros,2021,20.189999999999998,54.7125,43.6825,117.225,48.06,44.075,33.55,14.25,12.992,24.23
11,Extremadura,Ambos géneros,2022,17.3275,54.8525,45.355000000000004,121.675,40.5125,41.75,28.799999999999997,14.775,10.935,24.74
11,Extremadura,Ambos géneros,2023,17.3675,55.7125,46.0375,120.45,37.43,44.45,26.65,14.25,11.906,24.56
11,Extremadura,Ambos géneros,2024,15.515,54.7425,46.254999999999995,121.625,35.417500000000004,38.6,22.4,12.6,12.617,26.17
11,Extremadura,Ambos géneros,2025,14.765,55.2125,47.065,120.425,37.565,36.975,22.175,13.45,,
11,Extremadura,Ambos géneros,2026,13.25,54.49,47.27,123.6,27.65,32.2,21.2,12.8,,
11,Extremadura,Hombres,2010,20.58,64.065,50.8825,,44.542500000000004,37.35,29.925,3.6999999999999997,,22.81
