ccaa;periodo;genero;origen;abandono_temprano;nivel_superior_25_34;nivel_bajo_25_64;formacion_adultos_25_64;neet_15_29;idoneidad_15;graduacion_eso;escolarizacion_0_2
Castilla y León;2018;mujeres;real;9,6;51,8;35,4;12,3;12,1;75,1;85,6;23,3
Castilla y León;2018;total;real;13,9;44,0;39,7;10,4;12,5;71,1;81,6;23,4
Castilla y León;2019;hombres;real;17,2;41,2;42,4;9,1;11,9;66,6;82,9;24,1
Castilla y León;2019;mujeres;real;11,3;56,2;34,7;12,7;12,1;75,3;91,1;24,3
Castilla y León;2019;total;real;14,3;48,5;38,6;10,9;12,0;70,9;86,9;24,2
Castilla y León;2020;hombres;real;18,6;38,9;41,0;8,7;15,1;71,1;80,6;18,5
Castilla y León;2020;mujeres;real;12,1;54,6;33,7;12,1;13,8;77,1;86,4;18,5
Castilla y León;2020;total;real;15,4;46,5;37,4;10,4;14,5;74,0;83,4;18,5
Castilla y León;2021;hombres;real;16,7;37,0;41,6;12,5;11,7;71,2;79,3;24,1
Castilla y León;2021;mujeres;real;8,4;56,4;31,2;17,5;11,9;77,7;85,1;24,2
Castilla y León;2021;total;real;12,7;46,4;36,5;15,0;11,8;74,3;82,1;24,2
Castilla y León;2022;hombres;real;12,8;42,9;40,0;12,8;10,8;70,4;77,2;44,0
Castilla y León;2022;mujeres;real;8,4;53,4;30,9;17,8;13,0;75,8;84,1;43,6
Castilla y León;2022;total;real;10,7;48,0;35,5;15,3;11,9;73,0;80,5;43,8
Castilla y León;2023;hombres;real;12,0;46,8;39,6;12,9;10,0;71,0;77,6;49,8
Castilla y León;2023;mujeres;real;8,6;53,8;30,3;19,4;11,9;77,4;85,6;50,7
Castilla y León;2023;total;real;10,3;50,2;35,0;16,1;10,9;74,1;81,5;50,2
Castilla y León;2024;hombres;proyeccion;12,4;46,4;39,1;13,2;10,3;71,6;78,1667;54,5
Castilla y León;2024;mujeres;proyeccion;9,0;59,7;29,7;18,6;12,3;78,6;85,9333;54,1
Castilla y León;2024;total;proyeccion;10,8;52,8;34,4;15,9;11,3;75,0;81,9333;54,3
Castilla y León;2025;hombres;proyeccion;12,9;46,4;38,0;12,8;10,8;71,6;78,1667;54,5
Castilla y León;2025;mujeres;proyeccion;7,5;58,8;28,2;17,9;11,6;79,2133;85,9333;54,1
Castilla y León;2025;total;proyeccion;10,2;52,3;33,2;15,3;11,2;75,8667;81,9333;54,3
Castilla y León;2026;hombres;proyeccion;12,9;46,4;37,1418;12,8;10,8;71,6;78,1667;54,5
Castilla y León;2026;mujeres;proyeccion;7,5;58,8;27,0036;17,9;12,9909;79,8739;85,9333;54,1
Castilla y León;2026;total;proyeccion;10,2;53,2055;32,27;15,3;11,0992;76,7333;81,9333;54,3
Castilla-La Mancha;2015;hombres;real;23,7;27,8;53,0;9,5;20,0;58,3;69,5;33,0
Castilla-La Mancha;2015;mujeres;real;17,7;39,4;47,7;9,7;24,8;66,6;81,7;32,0
Castilla-La Mancha;2015;total;real;20,8;33,4;50,5;9,6;22,4;62,3;75,4;32,5
Castilla-La Mancha;2016;hombres;real;26,7;28,0;54,3;8,3;18,4;58,3;62,2;34,6
Castilla-La Mancha;2016;mujeres;real;19,7;40,1;47,2;9,5;22,3;67,4;75,7;33,2
Castilla-La Mancha;2016;total;real;23,2;33,9;50,9;8,9;20,3;62,7;68,8;33,9
Castilla-La Mancha;2017;hombres;real;27,5;27,3;54,0;8,7;14,8;60,1;66,9;34,9
Castilla-La Mancha;2017;mujeres;real;16,3;42,3;46,9;9,7;20,6;68,7;79,2;33,7
Castilla-La Mancha;2017;total;real;22,1;34,6;50,5;9,2;17,6;64,2;72,8;34,3
Castilla-La Mancha;2018;hombres;real;24,8;31,9;52,6;8,4;14,0;60,4;67,4;36,1
Castilla-La Mancha;2018;mujeres;real;15,5;43,5;47,3;9,8;18,1;68,8;79,0;34,6
