ccaa;periodo;genero;origen;abandono_temprano;nivel_superior_25_34;nivel_bajo_25_64;formacion_adultos_25_64;neet_15_29;idoneidad_15;graduacion_eso;escolarizacion_0_2
Cataluña;2026;mujeres;proyeccion;9,8436;63,7909;26,4982;18,9436;10,8;91,5;88,3667;43,8
Cataluña;2026;total;proyeccion;13,5782;58,88;30,31;17,0855;9,82;91,8333;82,8;44,1
Comunidad Foral de Navarra;2015;hombres;real;13,1;42,2;36,1;10,9;12,4;69,5;80,2;25,4
Comunidad Foral de Navarra;2015;mujeres;real;8,5;58,9;33,4;13,4;12,2;78,0;87,4;25,2
Comunidad Foral de Navarra;2015;total;real;10,8;50,5;34,8;12,2;12,3;73,7;83,7;25,3
Comunidad Foral de Navarra;2016;hombres;real;16,9;51,1;33,8;10,0;12,2;69,9;78,5;27,0
Comunidad Foral de Navarra;2016;mujeres;real;9,8;53,5;30,3;13,7;15,9;77,3;86,0;25,9
Comunidad Foral de Navarra;2016;total;real;13,4;52,3;32,1;11,8;14,1;73,5;82,1;26,5
Comunidad Foral de Navarra;2017;hombres;real;14,1;50,6;34,4;9,7;9,0;70,7;79,4;28,8
Comunidad Foral de Navarra;2017;mujeres;real;8,3;53,6;29,8;12,7;19,8;77,6;86,7;27,7
Comunidad Foral de Navarra;2017;total;real;11,3;52,1;32,1;11,2;14,3;74,1;82,9;28,3
Comunidad Foral de Navarra;2018;hombres;real;12,4;45,6;34,2;10,1;9,2;70,9;78,5;30,2
Comunidad Foral de Navarra;2018;mujeres;real;10,3;61,3;28,3;14,4;12,0;79,5;88,4;28,6
Comunidad Foral de Navarra;2018;total;real;11,4;53,4;31,3;12,2;10,6;75,2;83,4;29,5
Comunidad Foral de Navarra;2019;hombres;real;17,8;48,4;32,1;11,2;8,7;71,7;83,5;30,8
Comunidad Foral de Navarra;2019;mujeres;real;10,1;63,2;26,3;14,9;9,4;79,8;91,6;30,7
Comunidad Foral de Navarra;2019;total;real;13,9;55,8;29,2;13,0;9,0;75,6;87,3;30,7
Comunidad Foral de Navarra;2020;hombres;real;13,9;50,1;31,8;11,0;13,2;74,7;83,6;25,7
Comunidad Foral de Navarra;2020;mujeres;real;7,8;62,2;25,7;16,2;12,6;81,5;89,4;26,6
Comunidad Foral de Navarra;2020;total;real;10,8;56,1;28,8;13,6;12,9;78,0;86,5;26,2
Comunidad Foral de Navarra;2021;hombres;real;11,1;55,9;32,2;14,2;14,1;75,2;79,4;32,0
