modelo,mape,mae,rmse,nmae,modelo_mas_preciso,aplicó_parsimonia,metrica_seleccion,unique_id,periodicidad
Prophet,0.5500129148187027,0.3183657944555449,0.4099842007356154,0.005480325247760811,Prophet,False,mape,3|Comunitat Valenciana|Hombres,trimestral
WindowAverage,0.6629266704242999,0.30937500000000107,0.3477000323554782,0.006645722571290501,AutoARIMA,True,mape,3|Comunitat Valenciana|Mujeres,trimestral
Prophet,0.37298532744715357,0.17840678949045063,0.21846016010244004,0.0037460743200094624,Prophet,False,mape,3|Extremadura|Ambos géneros,trimestral
Prophet,0.9451714562265456,0.5077953594752387,0.5593623503741669,0.009476888153319436,Prophet,False,mape,3|Extremadura|Hombres,trimestral
AutoTheta,0.9590015041111937,0.4038299438061852,0.4785297957087385,0.009643124441673577,AutoARIMA,True,mape,3|Extremadura|Mujeres,trimestral
AutoARIMA,0.4780313607397346,0.23670376892328804,0.3320557698302759,0.0047993464907398215,AutoARIMA,False,mape,3|Galicia|Ambos géneros,trimestral
AutoARIMA,0.48122327663153647,0.2510818232185752,0.27829258354725384,0.004810918245230412,Prophet,True,mape,3|Galicia|Hombres,trimestral
AutoTheta,0.8729791983330099,0.40855355895133627,0.4873875378968176,0.008748001904637573,AutoTheta,False,mape,3|Galicia|Mujeres,trimestral
SeasonalNaive,1.1037068110233714,0.6275000000000013,0.6970832088065251,0.010704537700443557,SeasonalNaive,False,mape,3|Illes Balears|Ambos géneros,trimestral
SeasonalNaive,0.545277877094473,0.3449999999999953,0.5301414905475663,0.005519116941289318,SeasonalNaive,False,mape,3|Illes Balears|Hombres,trimestral
Prophet,2.093791627285704,1.1627030648124954,1.550487796419512,0.021212370623717135,Prophet,False,mape,3|Illes Balears|Mujeres,trimestral
AutoTheta,1.6895054350397998,0.9001615298764776,1.1597578923645713,0.016597428411108648,AutoTheta,False,mape,3|La Rioja|Ambos géneros,trimestral
Prophet,1.609252651594414,0.924039515172911,1.2897521030900807,0.01576254023920698,Prophet,False,mape,3|La Rioja|Hombres,trimestral
AutoTheta,1.9356744941757957,0.9527792158219253,1.2950824437045478,0.01905939619567764,AutoTheta,False,mape,3|La Rioja|Mujeres,trimestral
AutoTheta,3.041148697485947,1.2047282149114338,1.934874926839117,0.029799720856135897,AutoTheta,False,mape,3|Melilla|Ambos géneros,trimestral
Prophet,5.082555248350491,2.2120720534856986,3.370165377187537,0.04703284013151966,Prophet,False,mape,3|Melilla|Hombres,trimestral
HistoricAverage,4.410390721877281,1.588381924312003,2.199152845171007,0.046409990483915364,HistoricAverage,False,mape,3|Melilla|Mujeres,trimestral
AutoTheta,0.3614864813354841,0.18668250623467308,0.21802596537121363,0.003613676078874818,AutoTheta,False,mape,3|País Vasco|Ambos géneros,trimestral
AutoTheta,0.8986092232985502,0.5005165733080901,0.6514843175265466,0.009061173538050964,AutoTheta,False,mape,3|País Vasco|Hombres,trimestral
Naive,0.9545053828112791,0.45750000000000135,0.5630497313737043,0.009469108972368858,Naive,False,mape,3|País Vasco|Mujeres,trimestral
Naive,1.6812621933878744,0.8075000000000045,0.8671072598012354,0.01683519232773907,AutoARIMA,True,mape,3|Principado de Asturias|Ambos géneros,trimestral
AutoTheta,0.9661417938656299,0.5104020996128753,0.6729996402252996,0.009679998096114462,AutoTheta,False,mape,3|Principado de Asturias|Hombres,trimestral
WindowAverage,2.2950989648868325,1.0171874999999986,1.4091651728505796,0.023285926858581777,WindowAverage,False,mape,3|Principado de Asturias|Mujeres,trimestral
RWD,0.9892955949475649,0.5254166551249444,0.7158963405172816,0.00985818575214493,RWD,False,mape,3|Región de Murcia|Ambos géneros,trimestral
AutoTheta,1.6537868159852327,1.0017359926311808,1.0710896914063603,0.016590526542417702,AutoTheta,False,mape,3|Región de Murcia|Hombres,trimestral
RWD,1.0864839846226686,0.5031152262597285,0.6413456840589189,0.010868767039527511,RWD,False,mape,3|Región de Murcia|Mujeres,trimestral
AutoTheta,0.44017815482329165,0.2332037517009784,0.2706795120325543,0.004407763581741311,AutoTheta,False,mape,3|Total Nacional|Ambos géneros,trimestral
AutoTheta,0.4801744994564785,0.2794265431548162,0.3277282496868951,0.004811477282045909,AutoETS,True,mape,3|Total Nacional|Hombres,trimestral
AutoTheta,0.3889258472424769,0.1866989162756454,0.22796433667733,0.0038895607557426124,AutoTheta,False,mape,3|Total Nacional|Mujeres,trimestral
AutoARIMA,1.0797941122222705,1.3494576630751922,1.3872778833758457,0.010828145741827019,AutoARIMA,False,mape,4|Andalucía|Total,trimestral
AutoARIMA,0.7515297678087989,0.9269648969364326,1.0915205438501059,0.007516439464313259,AutoARIMA,False,mape,4|Aragón|Total,trimestral
AutoETS,0.929664612162526,1.187051045848083,1.4346370969465772,0.009262981239548055,AutoETS,False,mape,4|Canarias|Total,trimestral
