modelo,mape,mae,rmse,nmae,modelo_mas_preciso,aplicó_parsimonia,metrica_seleccion,unique_id,periodicidad
AutoTheta,6.0529901482473525,0.5633936215959814,0.645371604132913,0.06023989538583068,AutoETS,True,mape,1|Comunitat Valenciana|Hombres,trimestral
SeasonalNaive,4.089574418815003,0.56,0.6494228206646266,0.0411235542500459,SeasonalNaive,False,mape,1|Comunitat Valenciana|Mujeres,trimestral
RWD,4.994328879817068,0.7084220996701172,1.0291980015902027,0.05086498651374024,RWD,False,mape,1|Extremadura|Ambos géneros,trimestral
Prophet,5.004258086717277,0.5568034393362189,0.6277965466370393,0.04988160710738803,Prophet,False,mape,1|Extremadura|Hombres,trimestral
Prophet,6.620057261689507,1.153025418945544,1.3841096593330264,0.06739882618416157,Prophet,False,mape,1|Extremadura|Mujeres,trimestral
AutoTheta,1.9070220684488088,0.16053014298225898,0.17595654821406828,0.01913350929466734,AutoETS,True,mape,1|Galicia|Ambos géneros,trimestral
WindowAverage,7.088346963428304,0.5128125000000008,0.8194674814323024,0.06390186915887862,WindowAverage,False,mape,1|Galicia|Hombres,trimestral
AutoETS,9.054917849117654,0.7821225498385576,0.9437658035282535,0.08928339610029196,Prophet,True,mape,1|Galicia|Mujeres,trimestral
AutoARIMA,1.7958260613253774,0.21414140271765003,0.3639871778276502,0.02463519156947369,AutoARIMA,False,mape,1|Illes Balears|Ambos géneros,trimestral
SeasonalNaive,10.447468734708428,0.8425000000000002,1.0615436872781072,0.09756803705848292,SeasonalNaive,False,mape,1|Illes Balears|Hombres,trimestral
Prophet,17.135974016599977,1.2605012362304562,1.5913210717562423,0.14409845512780292,Prophet,False,mape,1|Illes Balears|Mujeres,trimestral
AutoETS,6.432494977005571,0.5420252944833417,0.5765761146096194,0.0652060504641614,AutoETS,False,mape,1|La Rioja|Ambos géneros,trimestral
Naive,18.12305411144242,1.3875000000000002,1.6259074389398682,0.18788083953960735,RWD,True,mape,1|La Rioja|Hombres,trimestral
Prophet,2.8911558243393563,0.26976895901133924,0.2971006511505898,0.028898656562543035,Prophet,False,mape,1|La Rioja|Mujeres,trimestral
Naive,5.598129418914849,1.295,1.429387980920505,0.05505367201615474,Naive,False,mape,1|Melilla|Ambos géneros,trimestral
AutoARIMA,15.477410506891177,2.7880973050910396,3.6754380851032957,0.140688649178304,AutoARIMA,False,mape,1|Melilla|Hombres,trimestral
Naive,17.012775289905218,3.9899999999999993,4.889713693049931,0.14321608040201006,AutoARIMA,True,mape,1|Melilla|Mujeres,trimestral
AutoTheta,5.535738121327789,0.4195951596369041,0.4548601456629609,0.056245999951327626,AutoTheta,False,mape,1|País Vasco|Ambos géneros,trimestral
AutoTheta,12.714011452853601,0.7865579493809585,1.1194357926995209,0.11387013382279527,AutoTheta,False,mape,1|País Vasco|Hombres,trimestral
Naive,15.143569016155075,1.1524999999999996,1.3199147699756981,0.14330121230960516,AutoTheta,True,mape,1|País Vasco|Mujeres,trimestral
AutoTheta,4.507945923746648,0.3955198106514328,0.4374521075457394,0.0451506633163736,AutoTheta,False,mape,1|Principado de Asturias|Ambos géneros,trimestral
AutoETS,8.507794020458936,0.5812037490526849,0.8884658655579522,0.07587516306170822,AutoARIMA,True,mape,1|Principado de Asturias|Hombres,trimestral
AutoTheta,7.931202932884266,0.7783343391414617,0.8438903746610289,0.07852048818577168,AutoETS,True,mape,1|Principado de Asturias|Mujeres,trimestral
AutoTheta,6.5886835194220765,0.7569744857045704,0.8971011105277357,0.06522830553249206,AutoTheta,False,mape,1|Región de Murcia|Ambos géneros,trimestral
AutoETS,10.975017878092958,0.9781785624820025,1.1912569672596636,0.09945892856959862,AutoETS,False,mape,1|Región de Murcia|Hombres,trimestral
