comunidades_autónomas;periodo;género;trastornos;benzodiacepinas;máximo_histórico_alquiler;precio_alquiler;precio_venta;máximo_histórico_venta;dificultades_medias_altas_para_llegar_a_fin_de_mes;población_con_gasto_elevado_en_vivienda;retrasos_en_los_pagos;población_con_falta_de_espacio_en_la_vivienda;desigualdad_en_la_distribución_de_ingresos_s80s20_y_coeficiente_de_gini;total;social_pib;empleo_pib;vivienda_pib;sanidad_pib;educacion_pib;cultura_pib;psector_pib;energía_pib;turismo_pib;altocargo_pib
01 Andalucía;2023;hombres;5,615977461;11,95900934;11,5;10,7;2.078;2.204;29,6;8,7;15,6;8,1;Distribución de la renta S80/S20;5,9;;;;;;;;;;
01 Andalucía;2023;hombres;5,615977461;11,95900934;11,5;10,7;2.078;2.204;29,6;8,7;15,6;8,1;Distribución de la renta S80/S20 (alquiler imputado);4,9;;;;;;;;;;
01 Andalucía;2023;hombres;5,615977461;11,95900934;11,5;10,7;2.078;2.204;29,6;8,7;15,6;8,1;Gini;32,6;;;;;;;;;;
01 Andalucía;2023;hombres;5,615977461;11,95900934;11,5;10,7;2.078;2.204;29,6;8,7;15,6;8,1;Gini (con alquiler imputado);29,6;;;;;;;;;;
01 Andalucía;2023;mujeres;11,01175989;20,81635348;11,5;10,7;2.078;2.204;29,6;8,7;15,6;8,1;Distribución de la renta S80/S20;5,9;;;;;;;;;;
01 Andalucía;2023;mujeres;11,01175989;20,81635348;11,5;10,7;2.078;2.204;29,6;8,7;15,6;8,1;Distribución de la renta S80/S20 (alquiler imputado);4,9;;;;;;;;;;
01 Andalucía;2023;mujeres;11,01175989;20,81635348;11,5;10,7;2.078;2.204;29,6;8,7;15,6;8,1;Gini;32,6;;;;;;;;;;
01 Andalucía;2023;mujeres;11,01175989;20,81635348;11,5;10,7;2.078;2.204;29,6;8,7;15,6;8,1;Gini (con alquiler imputado);29,6;;;;;;;;;;
01 Andalucía;2023;total;8,362374653;16,92802042;11,5;10,7;2.078;2.204;29,6;8,7;15,6;8,1;Distribución de la renta S80/S20;5,9;;;;;;;;;;
01 Andalucía;2023;total;8,362374653;16,92802042;11,5;10,7;2.078;2.204;29,6;8,7;15,6;8,1;Distribución de la renta S80/S20 (alquiler imputado);4,9;;;;;;;;;;
01 Andalucía;2023;total;8,362374653;16,92802042;11,5;10,7;2.078;2.204;29,6;8,7;15,6;8,1;Gini;32,6;;;;;;;;;;
01 Andalucía;2023;total;8,362374653;16,92802042;11,5;10,7;2.078;2.204;29,6;8,7;15,6;8,1;Gini (con alquiler imputado);29,6;;;;;;;;;;
02 Aragón;2013;hombres;6,292;;9,3;6;1.425;2.008;36,2;9,8;11,6;3,9;Distribución de la renta S80/S20;5,6;0,94%;0,29%;0,12%;5,00%;2,76%;0,08%;1,98%;0,09%;0,08%;0,08%
