comunidades_autónomas;periodo;género;trastornos
11 Extremadura;2021;hombres;3,015
11 Extremadura;2021;mujeres;6,868
11 Extremadura;2021;total;4,966
11 Extremadura;2022;hombres;3,295458205
11 Extremadura;2022;mujeres;7,982856219
11 Extremadura;2022;total;5,669588807
11 Extremadura;2023;hombres;3,746083357
11 Extremadura;2023;mujeres;8,825843947
11 Extremadura;2023;total;6,322467843
12 Galicia;2013;hombres;4,53
12 Galicia;2013;mujeres;10,655
12 Galicia;2013;total;7,701
12 Galicia;2014;hombres;5,108
12 Galicia;2014;mujeres;11,843
12 Galicia;2014;total;8,593
12 Galicia;2015;hombres;5,69
12 Galicia;2015;mujeres;12,894
12 Galicia;2015;total;9,417
12 Galicia;2016;hombres;6,171
12 Galicia;2016;mujeres;13,908
12 Galicia;2016;total;10,175
12 Galicia;2017;hombres;6,614
12 Galicia;2017;mujeres;14,619
12 Galicia;2017;total;10,757
12 Galicia;2018;hombres;7,03
12 Galicia;2018;mujeres;15,344
12 Galicia;2018;total;11,333
12 Galicia;2019;hombres;7,44
12 Galicia;2019;mujeres;16,223
12 Galicia;2019;total;11,995
12 Galicia;2020;hombres;7,845
12 Galicia;2020;mujeres;16,836
12 Galicia;2020;total;12,509
12 Galicia;2021;hombres;8,222
12 Galicia;2021;mujeres;17,755
12 Galicia;2021;total;13,169
12 Galicia;2022;hombres;9,452815845
12 Galicia;2022;mujeres;19,82942686
12 Galicia;2022;total;14,83994082
12 Galicia;2023;hombres;9,931216328
12 Galicia;2023;mujeres;20,58732836
12 Galicia;2023;total;15,47579101
17 La Rioja;2016;hombres;5,623
17 La Rioja;2016;mujeres;11,966
17 La Rioja;2016;total;8,836
17 La Rioja;2017;hombres;5,784
17 La Rioja;2017;mujeres;12,143
17 La Rioja;2017;total;9,003
17 La Rioja;2018;hombres;6,154
17 La Rioja;2018;mujeres;12,701
17 La Rioja;2018;total;9,47
17 La Rioja;2019;hombres;6,241
17 La Rioja;2019;mujeres;12,882
17 La Rioja;2019;total;9,603
17 La Rioja;2020;hombres;6,585
17 La Rioja;2020;mujeres;13,291
17 La Rioja;2020;total;9,98
17 La Rioja;2021;hombres;6,928
17 La Rioja;2021;mujeres;14,036
17 La Rioja;2021;total;10,526
17 La Rioja;2022;hombres;7,148453646
17 La Rioja;2022;mujeres;14,51550587
17 La Rioja;2022;total;10,87907471
17 La Rioja;2023;hombres;7,441102492
17 La Rioja;2023;mujeres;14,95761059
17 La Rioja;2023;total;11,25004461
13 Comunidad de Madrid;2013;hombres;5,183
13 Comunidad de Madrid;2013;mujeres;11,513
13 Comunidad de Madrid;2013;total;8,479
13 Comunidad de Madrid;2014;hombres;5,238
13 Comunidad de Madrid;2014;mujeres;11,528
13 Comunidad de Madrid;2014;total;8,512
13 Comunidad de Madrid;2015;hombres;5,554
13 Comunidad de Madrid;2015;mujeres;12,122
13 Comunidad de Madrid;2015;total;8,971
13 Comunidad de Madrid;2016;hombres;5,847
13 Comunidad de Madrid;2016;mujeres;12,616
13 Comunidad de Madrid;2016;total;9,366
13 Comunidad de Madrid;2017;hombres;5,772
13 Comunidad de Madrid;2017;mujeres;12,384
13 Comunidad de Madrid;2017;total;9,208
13 Comunidad de Madrid;2018;hombres;5,615
