Comunidades autónomas;Periodo;precio
05 Canarias;2021;10,2
05 Canarias;2020;9,8
05 Canarias;2019;9,9
05 Canarias;2018;9,6
05 Canarias;2017;8,7
05 Canarias;2016;7,3
05 Canarias;2015;6,9
05 Canarias;2014;6,5
05 Canarias;2013;6,4
05 Canarias;2012;6,6
05 Canarias;2011;6,9
05 Canarias;2010;7,4
05 Canarias;2009;7,4
05 Canarias;2008;8,4
05 Canarias;2007;9,6
05 Canarias;2006;
06 Cantabria;2025;10,5
06 Cantabria;2024;11,5
06 Cantabria;2023;9,3
06 Cantabria;2022;8,6
06 Cantabria;2021;8,1
06 Cantabria;2020;7,8
06 Cantabria;2019;7,6
06 Cantabria;2018;7,3
06 Cantabria;2017;6,8
06 Cantabria;2016;
06 Cantabria;2015;
06 Cantabria;2014;6,1
06 Cantabria;2013;6
06 Cantabria;2012;6,5
06 Cantabria;2011;7,1
06 Cantabria;2010;7,9
06 Cantabria;2009;8,4
06 Cantabria;2008;10,2
06 Cantabria;2007;13,4
06 Cantabria;2006;
07 Castilla y León;2025;8,6
07 Castilla y León;2024;8,2
07 Castilla y León;2023;7,7
07 Castilla y León;2022;7,1
07 Castilla y León;2021;6,8
07 Castilla y León;2020;6,7
07 Castilla y León;2019;6,4
07 Castilla y León;2018;
07 Castilla y León;2017;
07 Castilla y León;2016;
07 Castilla y León;2015;
07 Castilla y León;2014;5,1
07 Castilla y León;2013;
07 Castilla y León;2012;5,4
07 Castilla y León;2011;5,6
07 Castilla y León;2010;5,3
07 Castilla y León;2009;5,2
07 Castilla y León;2008;5,3
07 Castilla y León;2007;5,5
07 Castilla y León;2006;
08 Castilla-La Mancha;2025;7,5
08 Castilla-La Mancha;2024;7,1
08 Castilla-La Mancha;2023;6,7
08 Castilla-La Mancha;2022;6,1
08 Castilla-La Mancha;2021;5,9
08 Castilla-La Mancha;2020;5,6
08 Castilla-La Mancha;2019;5,4
08 Castilla-La Mancha;2018;5,1
08 Castilla-La Mancha;2017;4,8
08 Castilla-La Mancha;2016;
08 Castilla-La Mancha;2015;
08 Castilla-La Mancha;2014;4,4
08 Castilla-La Mancha;2013;4,5
08 Castilla-La Mancha;2012;4,9
08 Castilla-La Mancha;2011;5,2
08 Castilla-La Mancha;2010;5
08 Castilla-La Mancha;2009;5,1
08 Castilla-La Mancha;2008;5,3
08 Castilla-La Mancha;2007;5,6
08 Castilla-La Mancha;2006;
09 Cataluña;2025;18,4
09 Cataluña;2024;16,7
09 Cataluña;2023;16
09 Cataluña;2022;14,6
09 Cataluña;2021;13
09 Cataluña;2020;13,3
09 Cataluña;2019;13,5
09 Cataluña;2018;13,3
09 Cataluña;2017;13
09 Cataluña;2016;11,8
09 Cataluña;2015;10
09 Cataluña;2014;9,1
09 Cataluña;2013;8,6
09 Cataluña;2012;9,1
