horas;grado I;grado II;grado III;total;servicio;fecha
De 16 a 20;4,05401761639403e-01;1,24994017516711e-02;2,63130244217289e-02;0,176485949265589137;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-03-31
De 21 a 30;5,12837797351549e-02;1,87427213119985e-01;1,51258612149322e-01;0,124181641111032595;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-03-31
De 31 a 45;3,77494157828510e-03;6,91439465245760e-01;2,37762867564282e-02;0,272722804063914193;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-03-31
De 46 a 55;6,44136856612140e-04;3,35338129955490e-02;1,23249425856712e-01;0,038405647943618872;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-03-31
De 56 a 65;4,34417880040745e-04;8,29571016064962e-04;8,94612809774696e-02;0,018808045493227319;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-03-31
De 66 a 70;2,39678830367308e-04;5,66341751352041e-04;5,29847945842902e-01;0,108762238900887556;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-03-31
71 o más;3,96968062795854e-04;1,45972592249892e-03;3,40883505201063e-02;0,007702020589925008;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-03-31
Menos de 5;5,37570182773862e-04;0,00000000000000e+00;8,59401856308010e-05;0,000301343356964997;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-03-31
De 5 a 10;2,00991518337116e-02;1,11538676035915e-04;0,00000000000000e+00;0,010705619260598565;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-03-31
De 11 a 15;9,55083024728228e-02;5,57693380179577e-04;2,57820556892403e-04;0,050927027327084422;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-03-31
De 16 a 20;7,45460518456576e-01;9,20194077296302e-03;6,87521485046408e-04;0,398629680734643332;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-03-31
De 21 a 30;1,23641142037988e-01;8,82270927444091e-02;5,75799243726366e-03;0,091814562814229755;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-03-31
De 31 a 45;1,70230557878390e-03;7,65266856282416e-01;1,31488484015125e-02;0,220963981538754350;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-03-31
De 46 a 55;2,98650101541035e-04;1,02504043277006e-01;4,47748367136473e-02;0,037572758560530363;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-03-31
De 56 a 65;3,31501612710548e-03;1,67308014053873e-03;1,88037126160192e-01;0,036938351493235634;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-03-31
De 66 a 70;0,00000000000000e+00;2,78846690089789e-04;6,12495702990718e-01;0,113114780098650280;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-03-31
71 o más;9,43734320869669e-03;3,21789080363616e-02;1,34754211069096e-01;0,039031894815308242;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-03-31
Menos de 5;2,60454088231068e-03;1,54907857735973e-03;9,19869174161897e-04;0,001875969830081910;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-03-31
De 5 a 10;3,52744647219428e-01;1,37393500847807e-02;5,18704006541292e-03;0,157717853108216954;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-03-31
