"ccaa","periodo","genero","pct_pib_sanidad","imp_sanidad_eur","pib_regional_eur","origen_pib"
"Comunidad Valenciana",2015,"total",5.4147,5480479460,101214206000,"real"
"Comunidad Valenciana",2016,"total",5.6587,5896703080,104205396000,"real"
"Comunidad Valenciana",2017,"total",5.5883,6072586120,108666712000,"real"
"Comunidad Valenciana",2018,"total",5.6573,6378603750,112749574000,"real"
"Comunidad Valenciana",2019,"total",5.6816,6624076700,116588528000,"real"
"Comunidad Valenciana",2020,"total",6.3668,6753056640,106067171000,"real"
"Comunidad Valenciana",2021,"total",6.4584,7516686070,116386906000,"real"
"Comunidad Valenciana",2022,"total",6.1328,7824377320,127583394000,"real"
"Comunidad Valenciana",2023,"total",5.9031,8244060650,139655905000,"real"
"Comunidad Valenciana",2024,"total",5.7215,8484087430,148283453000,"real"
"Comunidad Valenciana",2025,"total",5.8169,8994839160,154631870325.761,"proyeccion"
"Comunidad Valenciana",2026,"total",5.6244,9234412650,164184591233.375,"proyeccion"
