ccaa;fecha;pendientes_grado_total;pendientes_grado_6m_o_mas
Comunidad Foral de Navarra;2024-08-01;74;74
País Vasco;2024-08-01;187;154
La Rioja;2024-08-01;30;25
Ceuta y Melilla;2024-08-01;225;39
Castilla y León;2024-08-01;NA;NA
Andalucía;2024-09-01;29415;29360
Aragón;2024-09-01;5342;700
Principado de Asturias;2024-09-01;8782;3918
Islas Baleares;2024-09-01;2392;1096
Canarias;2024-09-01;17102;10519
Cantabria;2024-09-01;909;789
Castilla y León;2024-09-01;5989;149
Castilla-La Mancha;2024-09-01;2611;445
Cataluña;2024-09-01;33043;7548
Comunidad Valenciana;2024-09-01;16361;10253
Extremadura;2024-09-01;1901;299
Galicia;2024-09-01;183;182
Comunidad de Madrid;2024-09-01;259;230
Región de Murcia;2024-09-01;8924;5251
Comunidad Foral de Navarra;2024-09-01;76;76
País Vasco;2024-09-01;204;160
La Rioja;2024-09-01;27;24
Ceuta y Melilla;2024-09-01;245;42
Castilla y León;2024-09-01;NA;NA
Andalucía;2024-10-01;31690;29360
Aragón;2024-10-01;5267;700
Principado de Asturias;2024-10-01;8827;3918
Islas Baleares;2024-10-01;2272;1096
Canarias;2024-10-01;17035;10519
Cantabria;2024-10-01;943;789
Castilla y León;2024-10-01;5329;149
Castilla-La Mancha;2024-10-01;2799;445
Cataluña;2024-10-01;32051;7548
Comunidad Valenciana;2024-10-01;16766;10253
Extremadura;2024-10-01;2280;299
Galicia;2024-10-01;53;182
Comunidad de Madrid;2024-10-01;389;230
Región de Murcia;2024-10-01;8579;5251
Comunidad Foral de Navarra;2024-10-01;75;76
País Vasco;2024-10-01;159;160
La Rioja;2024-10-01;28;24
Ceuta y Melilla;2024-10-01;255;42
Castilla y León;2024-10-01;NA;NA
Andalucía;2024-11-01;35968;35512
Aragón;2024-11-01;4987;940
Principado de Asturias;2024-11-01;8711;3691
Islas Baleares;2024-11-01;2270;1138
Canarias;2024-11-01;17100;10517
Cantabria;2024-11-01;212;162
Castilla y León;2024-11-01;4796;144
Castilla-La Mancha;2024-11-01;2235;358
Cataluña;2024-11-01;31308;8402
Comunidad Valenciana;2024-11-01;16484;11183
Extremadura;2024-11-01;2526;286
Galicia;2024-11-01;52;51
