ccaa;fecha;pers_benef_prest;prev_dep_prom_ap;teleasistencia;ayuda_domicilio;centros_dia_noche;atencion_residencial;pe_vinc_serv;pe_cuidados_fam;pe_asist_pers;total;ratio_prest_x_benef
Andalucía;2024-02-01;286357;645;134317;156155;14665;28705;4854;82447;11;421799;1,47298302468597
Aragón;2024-02-01;40215;3946;6129;5296;1760;4062;8311;20305;0;49809;1,23856769861992
Principado de Asturias;2024-02-01;31190;7611;3559;7341;2288;3732;4612;11403;21;40567;1,30064123116383
Islas Baleares;2024-02-01;29139;4403;14180;2073;1651;2921;727;21833;0;47788;1,64000137273070
Canarias;2024-02-01;40456;1538;2487;688;5596;4789;13813;16753;0;45664;1,12873245006921
Cantabria;2024-02-01;16934;6110;3322;1421;1932;4401;153;9004;0;26343;1,55562773119169
Castilla y León;2024-02-01;123323;13523;28910;22199;8002;8387;53553;33453;2319;170346;1,38129951428363
Castilla-La Mancha;2024-02-01;72070;8962;28821;15720;3604;12218;10384;17319;22;97050;1,34660746496462
Cataluña;2024-02-01;203145;54;28456;33728;13779;37613;23939;110091;98;247758;1,21961160747249
Comunidad Valenciana;2024-02-01;147902;1483;59861;5353;9191;13853;22640;97623;569;210573;1,42373328284945
Extremadura;2024-02-01;34476;1424;6032;976;2285;4961;18344;6300;0;40322;1,16956723517809
Galicia;2024-02-01;73273;6037;9897;25495;8871;6972;14651;17530;133;89586;1,22263316637779
Comunidad de Madrid;2024-02-01;176828;5309;70433;50565;17790;24663;27167;46606;82;242615;1,37203949600742
Región de Murcia;2024-02-01;41165;3887;9580;3296;4103;5152;1466;24259;3;51746;1,25703874650796
Comunidad Foral de Navarra;2024-02-01;16266;2101;3354;1099;731;2530;2787;9892;36;22530;1,38509774990778
País Vasco;2024-02-01;67749;970;24410;5654;7590;13030;1397;34852;6888;94791;1,39914980294912
La Rioja;2024-02-01;9169;1105;3620;3723;1363;1975;920;1215;0;13921;1,51826807721671
Ceuta y Melilla;2024-02-01;3453;627;754;1193;62;203;4;1774;0;4617;1,33709817549957
Andalucía;2024-03-01;287048;662;134709;156352;14740;28781;4910;82990;11;423155;1,47416111591093
Aragón;2024-03-01;40443;4037;6055;5295;1769;4084;8464;20350;0;50054;1,23764310263828
Principado de Asturias;2024-03-01;31355;7611;3879;7399;2274;3753;4614;11505;21;41056;1,30939244139691
Islas Baleares;2024-03-01;29247;4822;14517;2059;1670;2936;722;21865;0;48591;1,66140116935070
Canarias;2024-03-01;40108;1527;2466;679;5557;4713;13736;16696;0;45374;1,13129550214421
Cantabria;2024-03-01;16855;6010;3333;1418;1911;4321;148;9021;0;26162;1,55218036191041
Castilla y León;2024-03-01;123868;13463;28898;21942;7972;8357;54204;33772;2368;170976;1,38030806988084
Castilla-La Mancha;2024-03-01;72030;8978;28736;15628;3637;12277;10452;17445;21;97174;1,34907677356657
Cataluña;2024-03-01;205681;20;28896;33670;13772;37781;23641;112959;98;250837;1,21954385674904
Comunidad Valenciana;2024-03-01;150668;1506;78134;5462;9252;13925;22984;98493;602;230358;1,52891124857302
Extremadura;2024-03-01;34652;1430;6047;973;2312;5077;18381;6345;0;40565;1,17063950132748
