ccaa;fecha;pendientes_pia_total
Galicia;2026-02-01;591
Comunidad de Madrid;2026-02-01;12019
Región de Murcia;2026-02-01;7772
Comunidad Foral de Navarra;2026-02-01;544
País Vasco;2026-02-01;13121
La Rioja;2026-02-01;1071
Ceuta y Melilla;2026-02-01;356
Andalucía;2026-03-01;11959
Aragón;2026-03-01;87
Principado de Asturias;2026-03-01;423
Islas Baleares;2026-03-01;3970
Canarias;2026-03-01;839
Cantabria;2026-03-01;1022
Castilla y León;2026-03-01;200
Castilla-La Mancha;2026-03-01;3112
Cataluña;2026-03-01;39892
Comunidad Valenciana;2026-03-01;9857
Extremadura;2026-03-01;5029
Galicia;2026-03-01;570
Comunidad de Madrid;2026-03-01;14181
Región de Murcia;2026-03-01;7551
Comunidad Foral de Navarra;2026-03-01;512
País Vasco;2026-03-01;13077
La Rioja;2026-03-01;1094
Ceuta y Melilla;2026-03-01;300
