ccaa;fecha;tiempo_solicitud_grado;tiempo_grado_prestacion;tiempo_espera_total_dias
Comunidad Foral de Navarra;2024-09-01;128,13;79,94;200,19
País Vasco;2024-09-01;70,69;53,23;129,86
La Rioja;2024-09-01;56,81;150,95;200,81
Castilla y León;2024-09-01;NA;NA;NA
Andalucía;2024-10-01;383,13;261,29;617,85
Aragón;2024-10-01;145,02;49,02;198,08
Principado de Asturias;2024-10-01;287,71;53,18;339,05
Islas Baleares;2024-10-01;120,74;128,84;248,54
Canarias;2024-10-01;385,68;172,74;573,80
Cantabria;2024-10-01;161,57;58,83;214,35
Castilla y León;2024-10-01;117,82;0,12;126,20
Castilla-La Mancha;2024-10-01;122,50;66,05;192,78
Cataluña;2024-10-01;178,38;89,75;265,04
Comunidad Valenciana;2024-10-01;233,35;93,61;315,46
Extremadura;2024-10-01;129,57;152,84;284,67
Galicia;2024-10-01;261,87;120,17;386,97
Comunidad de Madrid;2024-10-01;185,94;62,23;298,30
Región de Murcia;2024-10-01;308,82;243,75;514,38
Comunidad Foral de Navarra;2024-10-01;131,40;80,17;202,99
País Vasco;2024-10-01;70,32;51,84;127,81
La Rioja;2024-10-01;56,95;156,64;206,37
Castilla y León;2024-10-01;NA;NA;NA
Andalucía;2024-11-01;390,58;247,58;611,02
Aragón;2024-11-01;141,57;46,40;193,83
Principado de Asturias;2024-11-01;297,49;39,17;342,87
Islas Baleares;2024-11-01;121,48;128,45;248,04
Canarias;2024-11-01;386,15;168,67;566,89
Cantabria;2024-11-01;162,14;52,31;209,60
Castilla y León;2024-11-01;118,24;0,11;126,53
Castilla-La Mancha;2024-11-01;122,56;64,60;188,73
Cataluña;2024-11-01;179,62;92,55;267,81
Comunidad Valenciana;2024-11-01;239,53;86,54;313,39
Extremadura;2024-11-01;129,71;150,38;281,48
Galicia;2024-11-01;259,79;125,81;387,74
Comunidad de Madrid;2024-11-01;189,08;63,48;302,40
Región de Murcia;2024-11-01;318,15;243,09;516,96
Comunidad Foral de Navarra;2024-11-01;135,44;76,78;203,10
País Vasco;2024-11-01;69,95;51,35;125,77
La Rioja;2024-11-01;55,96;159,97;209,91
Castilla y León;2024-11-01;NA;NA;NA
Andalucía;2024-12-01;409,37;216,24;602,11
Aragón;2024-12-01;140,24;43,70;189,17
Principado de Asturias;2024-12-01;302,98;33,58;346,30
Islas Baleares;2024-12-01;122,63;127,86;247,73
Canarias;2024-12-01;388,50;166,17;560,69
Cantabria;2024-12-01;162,71;50,36;209,54
Castilla y León;2024-12-01;113,73;0,11;118,61
Castilla-La Mancha;2024-12-01;123,45;63,03;186,66
Cataluña;2024-12-01;181,52;96,46;270,99
Comunidad Valenciana;2024-12-01;243,33;83,80;317,47
Extremadura;2024-12-01;129,44;146,98;278,83
Galicia;2024-12-01;257,20;127,35;386,31
Comunidad de Madrid;2024-12-01;191,41;63,78;305,90
Región de Murcia;2024-12-01;319,46;242,13;520,08
Comunidad Foral de Navarra;2024-12-01;135,39;75,48;204,30
País Vasco;2024-12-01;70,06;54,49;127,92
La Rioja;2024-12-01;56,25;171,29;220,05
