ccaa;solicitudes;fecha
Castilla-La Mancha;100119;2025-01-01
Cataluña;385490;2025-01-01
Comunidad Valenciana;219001;2025-01-01
Extremadura;59500;2025-01-01
Galicia;85714;2025-01-01
Comunidad de Madrid;261049;2025-01-01
Región de Murcia;66933;2025-01-01
Comunidad Foral de Navarra;21298;2025-01-01
País Vasco;117857;2025-01-01
La Rioja;14780;2025-01-01
Ceuta y Melilla;5678;2025-01-01
Andalucía;423413;2025-02-01
Aragón;57888;2025-02-01
Principado de Asturias;51675;2025-02-01
Islas Baleares;46508;2025-02-01
Canarias;76187;2025-02-01
Cantabria;23198;2025-02-01
Castilla y León;160402;2025-02-01
Castilla-La Mancha;100632;2025-02-01
Cataluña;386600;2025-02-01
Comunidad Valenciana;219504;2025-02-01
Extremadura;59616;2025-02-01
Galicia;85269;2025-02-01
Comunidad de Madrid;262487;2025-02-01
Región de Murcia;67463;2025-02-01
Comunidad Foral de Navarra;20949;2025-02-01
País Vasco;117866;2025-02-01
La Rioja;14827;2025-02-01
Ceuta y Melilla;5676;2025-02-01
Andalucía;424082;2025-03-01
Aragón;58385;2025-03-01
Principado de Asturias;51790;2025-03-01
Islas Baleares;46932;2025-03-01
Canarias;76190;2025-03-01
Cantabria;23289;2025-03-01
Castilla y León;160539;2025-03-01
Castilla-La Mancha;101607;2025-03-01
Cataluña;392480;2025-03-01
Comunidad Valenciana;220547;2025-03-01
Extremadura;60140;2025-03-01
Galicia;85856;2025-03-01
Comunidad de Madrid;265363;2025-03-01
Región de Murcia;68449;2025-03-01
Comunidad Foral de Navarra;20777;2025-03-01
País Vasco;118146;2025-03-01
La Rioja;14811;2025-03-01
Ceuta y Melilla;5712;2025-03-01
Andalucía;424084;2025-04-01
Aragón;58693;2025-04-01
Principado de Asturias;52063;2025-04-01
Islas Baleares;47287;2025-04-01
Canarias;76325;2025-04-01
Cantabria;23380;2025-04-01
Castilla y León;161076;2025-04-01
Castilla-La Mancha;102256;2025-04-01
Cataluña;395271;2025-04-01
Comunidad Valenciana;226297;2025-04-01
Extremadura;60562;2025-04-01
Galicia;87481;2025-04-01
Comunidad de Madrid;266456;2025-04-01
Región de Murcia;69263;2025-04-01
Comunidad Foral de Navarra;20737;2025-04-01
País Vasco;118843;2025-04-01
La Rioja;14818;2025-04-01
Ceuta y Melilla;5735;2025-04-01
Andalucía;425258;2025-05-01
Aragón;59191;2025-05-01
Principado de Asturias;52296;2025-05-01
Islas Baleares;47828;2025-05-01
Canarias;76588;2025-05-01
Cantabria;23494;2025-05-01
Castilla y León;161324;2025-05-01
Castilla-La Mancha;102491;2025-05-01
Cataluña;398610;2025-05-01
Comunidad Valenciana;227362;2025-05-01
Extremadura;60774;2025-05-01
Galicia;89575;2025-05-01
Comunidad de Madrid;267532;2025-05-01
Región de Murcia;70173;2025-05-01
Comunidad Foral de Navarra;23582;2025-05-01
País Vasco;119085;2025-05-01
La Rioja;14780;2025-05-01
Ceuta y Melilla;5774;2025-05-01
Andalucía;426018;2025-06-01
Aragón;59558;2025-06-01
Principado de Asturias;52409;2025-06-01
Islas Baleares;48429;2025-06-01
Canarias;76437;2025-06-01
Cantabria;23596;2025-06-01
Castilla y León;161329;2025-06-01
Castilla-La Mancha;103096;2025-06-01
Cataluña;402234;2025-06-01
Comunidad Valenciana;228620;2025-06-01
Extremadura;60597;2025-06-01
Galicia;91845;2025-06-01
Comunidad de Madrid;269409;2025-06-01
Región de Murcia;71161;2025-06-01
Comunidad Foral de Navarra;23712;2025-06-01
País Vasco;120058;2025-06-01
La Rioja;14836;2025-06-01
Ceuta y Melilla;5805;2025-06-01
Andalucía;427150;2025-07-01
Aragón;60062;2025-07-01
Principado de Asturias;51908;2025-07-01
Islas Baleares;48867;2025-07-01
Canarias;77426;2025-07-01
Cantabria;23465;2025-07-01
Castilla y León;161127;2025-07-01
Castilla-La Mancha;104099;2025-07-01
Cataluña;407365;2025-07-01
Comunidad Valenciana;229150;2025-07-01
Extremadura;60633;2025-07-01
Galicia;93011;2025-07-01
Comunidad de Madrid;270988;2025-07-01
Región de Murcia;72039;2025-07-01
Comunidad Foral de Navarra;23698;2025-07-01
País Vasco;120340;2025-07-01
La Rioja;14782;2025-07-01
Ceuta y Melilla;5863;2025-07-01
Andalucía;429699;2025-08-01
Aragón;60137;2025-08-01
Principado de Asturias;51290;2025-08-01
Islas Baleares;49300;2025-08-01
Canarias;77796;2025-08-01
