ccaa_id3,anio,capitulo,codigo,denominacion,importe_eur,capa,fuente_path
mur,2022,4,04,Transferencias corrientes,1175044420.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_mur.xlsx
mur,2022,5,05,Fondo de contingencia,76725360.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_mur.xlsx
mur,2022,6,06,Inversiones reales,320388540.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_mur.xlsx
mur,2022,7,07,Transferencias de capital,241789600.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_mur.xlsx
mur,2022,8,08,Activos financieros,6530650.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_mur.xlsx
mur,2022,9,09,Pasivos financieros,1523678820.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_mur.xlsx
nav,2022,1,01,Gastos de personal,1586136520.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_nav.xlsx
nav,2022,2,02,Gastos corrientes en bienes y servicios,849843840.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_nav.xlsx
nav,2022,3,03,Gastos financieros,57065320.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_nav.xlsx
nav,2022,4,04,Transferencias corrientes,1781280720.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_nav.xlsx
nav,2022,5,05,Fondo de contingencia,5429790.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_nav.xlsx
nav,2022,6,06,Inversiones reales,222890020.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_nav.xlsx
nav,2022,7,07,Transferencias de capital,264388010.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_nav.xlsx
nav,2022,8,08,Activos financieros,35913860.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_nav.xlsx
nav,2022,9,09,Pasivos financieros,470178530.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_nav.xlsx
pvc,2022,1,01,Gastos de personal,4932239490.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_pvc.xlsx
pvc,2022,2,02,Gastos corrientes en bienes y servicios,2034389820.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_pvc.xlsx
pvc,2022,3,03,Gastos financieros,190757060.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_pvc.xlsx
pvc,2022,4,04,Transferencias corrientes,3696382630.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_pvc.xlsx
pvc,2022,5,05,Fondo de contingencia,780000.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_pvc.xlsx
pvc,2022,6,06,Inversiones reales,562697280.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_pvc.xlsx
pvc,2022,7,07,Transferencias de capital,875916340.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_pvc.xlsx
pvc,2022,8,08,Activos financieros,147839170.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_pvc.xlsx
pvc,2022,9,09,Pasivos financieros,746365490.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_pvc.xlsx
val,2022,1,01,Gastos de personal,7772239040.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_val.xlsx
val,2022,2,02,Gastos corrientes en bienes y servicios,3925303620.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_val.xlsx
val,2022,3,03,Gastos financieros,363364230.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_val.xlsx
val,2022,4,04,Transferencias corrientes,6084651960.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_val.xlsx
val,2022,5,05,Fondo de contingencia,9000000.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_val.xlsx
val,2022,6,06,Inversiones reales,1479722590.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_val.xlsx
val,2022,7,07,Transferencias de capital,1746839360.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_val.xlsx
val,2022,8,08,Activos financieros,192602900.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_val.xlsx
val,2022,9,09,Pasivos financieros,7058636200.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_val.xlsx
and,2023,1,01,Gastos de personal,14795256900.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_and.xlsx
and,2023,2,02,Gastos corrientes en bienes y servicios,6504704800.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_and.xlsx
and,2023,3,03,Gastos financieros,560844160.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_and.xlsx
and,2023,4,04,Transferencias corrientes,13420201610.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_and.xlsx
and,2023,5,05,Fondo de contingencia,16010000.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_and.xlsx
and,2023,6,06,Inversiones reales,3198975100.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_and.xlsx
and,2023,7,07,Transferencias de capital,2268530420.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_and.xlsx
and,2023,8,08,Activos financieros,82567740.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_and.xlsx
and,2023,9,09,Pasivos financieros,4756740130.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_and.xlsx
ara,2023,1,01,Gastos de personal,2686955740.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_ara.xlsx
ara,2023,2,02,Gastos corrientes en bienes y servicios,1169137200.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_ara.xlsx
ara,2023,3,03,Gastos financieros,151237720.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_ara.xlsx
ara,2023,4,04,Transferencias corrientes,1819628540.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_ara.xlsx
ara,2023,5,05,Fondo de contingencia,31991620.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_ara.xlsx
ara,2023,6,06,Inversiones reales,428814800.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_ara.xlsx
ara,2023,7,07,Transferencias de capital,613797410.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_ara.xlsx
ara,2023,8,08,Activos financieros,2250000.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_ara.xlsx
ara,2023,9,09,Pasivos financieros,1345776640.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_ara.xlsx
ast,2023,1,01,Gastos de personal,2054860430.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_ast.xlsx
ast,2023,2,02,Gastos corrientes en bienes y servicios,1114183200.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_ast.xlsx
ast,2023,3,03,Gastos financieros,48755680.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_ast.xlsx
ast,2023,4,04,Transferencias corrientes,1197854440.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_ast.xlsx
ast,2023,5,05,Fondo de contingencia,2000000.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_ast.xlsx
ast,2023,6,06,Inversiones reales,463545750.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_ast.xlsx
ast,2023,7,07,Transferencias de capital,457241460.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_ast.xlsx
ast,2023,8,08,Activos financieros,30464610.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_ast.xlsx
ast,2023,9,09,Pasivos financieros,599312920.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_ast.xlsx
bal,2023,1,01,Gastos de personal,1976332020.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_bal.xlsx
bal,2023,2,02,Gastos corrientes en bienes y servicios,949792960.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_bal.xlsx
bal,2023,3,03,Gastos financieros,88698420.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_bal.xlsx
bal,2023,4,04,Transferencias corrientes,1876437020.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_bal.xlsx
bal,2023,5,05,Fondo de contingencia,60000000.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_bal.xlsx
bal,2023,6,06,Inversiones reales,319868650.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_bal.xlsx
bal,2023,7,07,Transferencias de capital,676362640.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_bal.xlsx
bal,2023,8,08,Activos financieros,32944900.0,hacienda,fuentes/raw/hacienda/2023/per_ccaa/SGCIEF_2023_bal.xlsx
