"ccaa","genero","variable","periodo","valor","li_95","ls_95","imputado"
"Comunidad Foral de Navarra","mujeres","avs_65",2025,21.1285178032042,20.4976048300771,21.8616539474717,TRUE
"Comunidad Foral de Navarra","total","avs_65",2025,19.4680840838502,19.0840846274888,20.4707218287009,TRUE
"Comunidad Valenciana","hombres","avs_65",2025,17.6993745240324,17.1065045752248,18.2325758851323,TRUE
"Comunidad Valenciana","mujeres","avs_65",2025,20.0073265387239,19.20605076704,22.0624921668698,TRUE
"Comunidad Valenciana","total","avs_65",2025,18.933509911171,18.3821866844193,20.2067803129415,TRUE
"Comunidad de Madrid","hombres","avs_65",2025,19.1336442806136,18.2043883327303,21.0015431290516,TRUE
"Comunidad de Madrid","mujeres","avs_65",2025,20.5945846000561,20.3822786758203,22.1800135012838,TRUE
"Comunidad de Madrid","total","avs_65",2025,19.5553315349711,19.1344684161034,21.1603080579496,TRUE
"Extremadura","hombres","avs_65",2025,17.9348347951406,17.4761937706374,18.459150343685,TRUE
"Extremadura","mujeres","avs_65",2025,20.4712447908277,19.8287809728132,21.51515662304,TRUE
"Extremadura","total","avs_65",2025,19.4489618028757,18.8387435756505,19.85202212841,TRUE
"Galicia","hombres","avs_65",2025,17.4598715127533,16.8701032626892,19.095634859431,TRUE
"Galicia","mujeres","avs_65",2025,19.6298168550131,18.3561873633665,21.7709981423167,TRUE
"Galicia","total","avs_65",2025,18.5471043139896,17.6075337568899,20.4034490148285,TRUE
"Islas Baleares","hombres","avs_65",2025,17.8544724113624,16.3069518236825,19.2815176773552,TRUE
"Islas Baleares","mujeres","avs_65",2025,19.9681985434204,19.1620781642865,20.9792695240027,TRUE
"Islas Baleares","total","avs_65",2025,19.193044960944,18.1014594110679,19.8485856970523,TRUE
"La Rioja","hombres","avs_65",2025,18.1685816413099,17.4156303743134,18.9433046029136,TRUE
"La Rioja","mujeres","avs_65",2025,20.1528673426225,19.6479426228822,20.9701801569943,TRUE
"La Rioja","total","avs_65",2025,19.221394050812,18.5713265025522,20.1704208699464,TRUE
"Media Estatal","hombres","avs_65",2025,17.9638462094565,17.6450740436498,18.1519979460003,TRUE
"Media Estatal","mujeres","avs_65",2025,20.145153509947,19.692963769334,20.4413104483128,TRUE
"Media Estatal","total","avs_65",2025,19.1507549231041,18.6478225675185,19.3732626388856,TRUE
"Melilla","hombres","avs_65",2025,15.24648353915,14.3344951630554,16.2787178232696,TRUE
"Melilla","mujeres","avs_65",2025,15.8576393076437,14.5816249088863,20.9414999326214,TRUE
"Melilla","total","avs_65",2025,15.0850217848817,14.1740309150669,16.4160401168075,TRUE
"País Vasco","hombres","avs_65",2025,17.7989891248787,17.3083962598958,18.1467833156428,TRUE
"País Vasco","mujeres","avs_65",2025,20.7934724546371,19.9470572409619,22.4454407422022,TRUE
"País Vasco","total","avs_65",2025,19.463305865418,18.9378388290146,20.2833549035266,TRUE
"Principado de Asturias","hombres","avs_65",2025,16.831954853836,16.4652352622771,17.1160835689237,TRUE
"Principado de Asturias","mujeres","avs_65",2025,19.4607491198918,18.8000006480623,20.7237811058398,TRUE
"Principado de Asturias","total","avs_65",2025,18.3301159822074,17.7888419755716,19.1917847073467,TRUE
"Región de Murcia","hombres","avs_65",2025,16.0191182288142,15.8781480809029,16.7506860214231,TRUE
"Región de Murcia","mujeres","avs_65",2025,18.2006519718333,16.4350284904921,21.9076274100061,TRUE
"Región de Murcia","total","avs_65",2025,16.9534256018422,16.0723839037797,19.712506376582,TRUE
"Andalucía","hombres","mort_evitable_idx",2025,1.00491730434175,0.937886668160195,1.08718398908876,TRUE
"Andalucía","mujeres","mort_evitable_idx",2025,0.419381367711063,0.376071031490578,0.467523772428055,TRUE
"Andalucía","total","mort_evitable_idx",2025,0.696970509852059,0.652226130600148,0.763194610355103,TRUE
"Aragón","hombres","mort_evitable_idx",2025,0.853597688696945,0.784937499463471,0.956642381654553,TRUE
"Aragón","mujeres","mort_evitable_idx",2025,0.380045556900087,0.323421173304689,0.42669939501047,TRUE
"Aragón","total","mort_evitable_idx",2025,0.6136930530727,0.555070423496305,0.695586648810497,TRUE
"Canarias","hombres","mort_evitable_idx",2025,0.959061670407105,0.904621793354739,1.07284211671007,TRUE
"Canarias","mujeres","mort_evitable_idx",2025,0.482667408125985,0.385986526139201,0.57594818359429,TRUE
"Canarias","total","mort_evitable_idx",2025,0.717004834651892,0.67457631059737,0.800616246319791,TRUE
"Cantabria","hombres","mort_evitable_idx",2025,0.832784270033732,0.730117504974623,0.975890578245104,TRUE
"Cantabria","mujeres","mort_evitable_idx",2025,0.436613730002637,0.381547859174752,0.47874412116011,TRUE
"Cantabria","total","mort_evitable_idx",2025,0.632041020698973,0.533572362332264,0.715706976741601,TRUE
"Castilla y León","hombres","mort_evitable_idx",2025,0.910622008945528,0.824865212055079,0.985506018042702,TRUE
"Castilla y León","mujeres","mort_evitable_idx",2025,0.359199974392006,0.323137976604745,0.396218823088458,TRUE
"Castilla y León","total","mort_evitable_idx",2025,0.633607437740825,0.565243624464732,0.702088205012676,TRUE
"Castilla-La Mancha","hombres","mort_evitable_idx",2025,0.830834351704062,0.769732204581391,0.869960120073396,TRUE
"Castilla-La Mancha","mujeres","mort_evitable_idx",2025,0.354250305413012,0.32729881589506,0.383495187381813,TRUE
