ccaa;ccaa_cod;periodo;origen;tasa_paro;tasa_actividad;tasa_empleo;horas_servicios;paro_juvenil;paro_larga_duracion;temporalidad;parcialidad;brecha_salarial;pct_alquiler_salario;brecha_salarial_origen;pct_alquiler_salario_origen
Extremadura;11;2010;real;22.97;54.445;41.94;129.775;45.738;41.55;34.1;13.0;14.0;24.34;real;real
Extremadura;11;2011;real;25.08;54.238;40.638;127.725;50.99;45.025;36.725;13.675;15.28;23.37;real;real
Extremadura;11;2012;real;33.075;55.168;36.918;126.025;62.008;52.825;34.525;14.275;19.381;23.51;real;real
Extremadura;11;2013;real;33.868;55.99;37.022;125.525;61.27;55.75;32.75;16.55;25.143;22.78;real;real
Extremadura;11;2014;real;29.792;55.105;38.69;123.975;55.405;58.45;33.3;15.4;16.399;21.82;real;real
Extremadura;11;2015;real;29.095;55.202;39.145;123.275;55.282;58.75;34.2;15.6;20.671;21.05;real;real
Extremadura;11;2016;real;27.515;55.125;39.958;122.45;50.352;55.35;33.075;15.625;19.46;21.69;real;real
Extremadura;11;2017;real;26.218;54.775;40.415;120.55;48.64;57.425;35.475;15.675;17.896;22.64;real;real
Extremadura;11;2018;real;23.643;55.31;42.235;120.45;46.612;51.0;35.475;16.025;17.536;22.91;real;real
Extremadura;11;2019;real;21.535;55.642;43.66;120.625;44.775;52.275;34.1;15.875;17.463;24.17;real;real
Extremadura;11;2020;real;21.795;54.4;42.543;114.675;47.31;44.225;34.8;14.8;14.864;24.09;real;real
Extremadura;11;2021;real;20.19;54.712;43.682;117.225;48.06;44.075;33.55;14.25;12.992;24.23;real;real
Extremadura;11;2022;real;17.328;54.852;45.355;121.675;40.512;41.75;28.8;14.775;10.935;24.74;real;real
Extremadura;11;2023;real;17.368;55.712;46.038;120.45;37.43;44.45;26.65;14.25;11.906;24.56;real;real
Extremadura;11;2024;real;15.515;54.742;46.255;121.625;35.418;38.6;22.4;12.6;12.617;26.17;real;real
Extremadura;11;2025;real;14.765;55.212;47.065;120.425;37.565;36.975;22.175;13.45;12.617;26.17;proyeccion;proyeccion
Extremadura;11;2026;proyeccion;13.017;55.207;48.554;119.835;31.793;34.456;22.175;12.978;12.617;26.17;proyeccion;proyeccion
Galicia;12;2010;real;15.325;54.195;45.89;130.65;35.415;40.725;24.975;11.5;21.811;32.25;real;real
Galicia;12;2011;real;17.26;54.778;45.325;129.375;37.762;46.925;24.475;12.05;22.741;30.57;real;real
Galicia;12;2012;real;20.532;55.015;43.72;129.2;45.26;50.25;22.9;12.95;24.173;30.55;real;real
Galicia;12;2013;real;22.042;54.188;42.245;128.9;49.928;57.4;22.775;14.45;23.374;27.41;real;real
Galicia;12;2014;real;21.652;53.78;42.135;129.425;48.528;59.525;23.45;14.25;20.92;26.52;real;real
Galicia;12;2015;real;19.307;53.46;43.14;127.4;43.57;60.8;25.4;14.375;21.977;25.6;real;real
Galicia;12;2016;real;17.155;53.455;44.288;125.925;40.312;58.425;26.225;13.7;23.049;24.95;real;real
Galicia;12;2017;real;15.668;53.3;44.952;126.025;34.543;55.475;26.975;13.5;22.565;25.02;real;real
Galicia;12;2018;real;13.338;53.278;46.17;125.925;32.508;50.325;26.575;13.525;21.282;25.72;real;real
Galicia;12;2019;real;11.758;53.142;46.892;124.45;27.992;44.875;26.45;14.225;19.25;27.75;real;real
Galicia;12;2020;real;12.015;52.2;45.925;117.0;33.168;38.825;24.025;13.15;19.107;28.8;real;real
Galicia;12;2021;real;11.545;52.42;46.368;122.475;32.307;46.05;24.4;13.475;18.957;29.33;real;real
Galicia;12;2022;real;11.04;52.805;46.978;126.0;32.65;43.325;19.425;13.975;17.704;29.39;real;real
Galicia;12;2023;real;9.718;52.99;47.842;125.525;24.67;40.55;16.7;14.1;15.743;30.08;real;real
Galicia;12;2024;real;9.375;53.218;48.228;124.3;25.772;37.3;15.925;13.5;14.269;31.57;real;real
Galicia;12;2025;real;8.35;53.543;49.07;122.7;24.872;34.7;13.825;13.55;13.73;31.57;proyeccion;proyeccion
Galicia;12;2026;proyeccion;8.345;54.15;49.972;120.926;24.71;35.05;11.857;13.624;13.192;31.57;proyeccion;proyeccion
Illes Balears;04;2010;real;20.18;66.325;52.975;133.55;42.785;33.45;25.925;11.85;14.651;43.31;real;real
Illes Balears;04;2011;real;21.947;65.472;51.158;132.575;43.108;35.55;26.7;12.725;16.436;39.34;real;real
Illes Balears;04;2012;real;23.258;67.002;51.475;134.15;49.362;44.75;24.025;14.55;16.785;37.24;real;real
Illes Balears;04;2013;real;22.335;66.225;51.478;133.0;45.778;48.85;24.8;13.775;15.88;35.12;real;real
Illes Balears;04;2014;real;20.14;64.888;51.902;131.95;45.043;47.5;25.75;14.1;20.034;34.89;real;real
Illes Balears;04;2015;real;17.41;65.772;54.385;134.05;42.92;43.225;26.35;14.15;16.633;37.74;real;real
